Country/Territory,Region,C/T?,Edition,Status2011,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2011
Abkhazia,Eurasia,t,2011,PF,5,5,5,6,4,0,0.0,15,8,5,4,5,22,37
Afghanistan,Asia,c,2011,NF,6,6,3,6,1,0,0.0,10,5,4,2,4,15,25
Albania,Europe,c,2011,PF,3,3,8,11,7,0,0.0,26,13,9,9,9,40,66
Algeria,MENA,c,2011,NF,6,5,4,4,3,0,0.0,11,7,6,5,7,25,36
Andorra,Europe,c,2011,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2011,NF,6,5,3,6,1,0,0.0,10,8,6,4,3,21,31
Antigua and Barbuda,Americas,c,2011,F,3,2,11,12,6,0,0.0,29,13,9,13,13,48,77
Argentina,Americas,c,2011,F,2,2,11,15,6,0,0.0,32,14,11,10,13,48,80
Armenia,Eurasia,c,2011,PF,6,4,4,4,3,0,0.0,11,8,5,6,9,28,39
Australia,Asia,c,2011,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
Austria,Europe,c,2011,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Azerbaijan,Eurasia,c,2011,NF,6,5,1,3,3,0,0.0,7,6,3,4,8,21,28
Bahamas,Americas,c,2011,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2011,NF,6,5,3,6,4,2,0.0,11,8,3,1,7,19,30
Bangladesh,Asia,c,2011,PF,3,4,9,11,6,0,0.0,26,9,9,7,9,34,60
Barbados,Americas,c,2011,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2011,NF,7,6,0,3,1,0,0.0,4,3,1,2,5,11,15
Belgium,Europe,c,2011,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Belize,Americas,c,2011,F,1,2,12,14,11,0,0.0,37,15,11,12,13,51,88
Benin,SSA,c,2011,F,2,2,9,16,8,0,0.0,33,15,12,13,10,50,83
Bhutan,Asia,c,2011,PF,4,5,7,7,6,1,0.0,19,8,3,5,8,24,43
Bolivia,Americas,c,2011,PF,3,3,11,11,5,0,0.0,27,14,10,6,9,39,66
Bosnia and Herzegovina,Europe,c,2011,PF,4,3,8,10,5,0,0.0,23,10,7,10,10,37,60
Botswana,SSA,c,2011,F,3,2,10,11,8,0,0.0,29,13,10,12,11,46,75
Brazil,Americas,c,2011,F,2,2,11,14,7,0,0.0,32,15,10,9,12,46,78
