Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2015,PF,4,5,6,8,4,0,0.0,18,8,6,4,5,23,41
Afghanistan,Asia,c,2015,NF,6,6,3,6,2,0,0.0,11,5,4,2,2,13,24
Albania,Europe,c,2015,PF,3,3,8,13,6,0,0.0,27,13,9,9,9,40,67
Algeria,MENA,c,2015,NF,6,5,4,4,3,0,0.0,11,7,4,5,7,23,34
Andorra,Europe,c,2015,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2015,NF,6,5,3,6,1,0,0.0,10,7,4,4,3,18,28
Antigua and Barbuda,Americas,c,2015,F,2,2,11,13,7,0,0.0,31,14,9,13,13,49,80
Argentina,Americas,c,2015,F,2,2,11,14,6,0,0.0,31,14,11,11,13,49,80
Armenia,Eurasia,c,2015,PF,5,4,5,7,4,0,0.0,16,9,6,6,9,30,46
Australia,Asia,c,2015,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Austria,Europe,c,2015,F,1,1,12,15,11,0,0.0,38,16,12,15,15,58,96
Azerbaijan,Eurasia,c,2015,NF,6,6,1,3,2,0,0.0,6,4,1,3,6,14,20
Bahamas,Americas,c,2015,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2015,NF,7,6,2,2,3,2,0.0,5,2,1,1,6,10,15
Bangladesh,Asia,c,2015,PF,4,4,7,9,5,0,0.0,21,8,6,6,9,29,50
Barbados,Americas,c,2015,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2015,NF,7,6,0,3,1,0,0.0,4,3,1,1,5,10,14
Belgium,Europe,c,2015,F,1,1,12,16,12,0,0.0,40,15,12,15,15,57,97
Belize,Americas,c,2015,F,1,2,12,14,10,0,0.0,36,15,11,12,13,51,87
Benin,SSA,c,2015,F,2,2,8,16,8,0,0.0,32,15,12,12,10,49,81
Bhutan,Asia,c,2015,PF,3,4,10,10,10,1,0.0,29,9,4,6,8,27,56
Bolivia,Americas,c,2015,PF,3,3,11,11,7,0,0.0,29,14,9,6,10,39,68
Bosnia and Herzegovina,Europe,c,2015,PF,4,3,8,10,5,0,0.0,23,10,7,10,10,37,60
Botswana,SSA,c,2015,F,3,2,10,10,8,0,0.0,28,12,10,12,11,45,73
Brazil,Americas,c,2015,F,2,2,11,14,8,0,0.0,33,15,10,10,13,48,81
Brunei,Asia,c,2015,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2015,F,2,2,11,14,8,0,0.0,33,14,11,10,11,46,79
Burkina Faso,SSA,c,2015,PF,6,3,2,6,1,0,0.0,9,13,8,7,8,36,45
Burundi,SSA,c,2015,NF,6,5,4,5,2,0,0.0,11,8,3,4,6,21,32
Cambodia,Asia,c,2015,NF,6,5,4,4,3,0,0.0,11,9,3,2,6,20,31
Cameroon,SSA,c,2015,NF,6,6,3,3,3,0,0.0,9,7,3,2,4,16,25
Canada,Americas,c,2015,F,1,1,12,16,11,0,0.0,39,16,12,15,16,59,98
Cape Verde,SSA,c,2015,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2015,NF,7,7,0,1,0,1,0.0,0,4,1,0,1,6,6
Chad,SSA,c,2015,NF,7,6,3,1,1,0,0.0,5,7,4,2,3,16,21
Chile,Americas,c,2015,F,1,1,12,15,12,0,0.0,39,16,11,14,15,56,95
China,Asia,c,2015,NF,7,6,0,1,2,1,0.0,2,4,3,2,6,15,17
Colombia,Americas,c,2015,PF,3,4,10,11,8,0,0.0,29,12,5,7,10,34,63
Comoros,SSA,c,2015,PF,3,4,9,11,5,0,0.0,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,c,2015,NF,6,5,1,3,3,0,0.0,7,8,6,2,7,23,30
Congo (Kinshasa),SSA,c,2015,NF,6,6,3,4,2,0,0.0,9,8,3,0,5,16,25
Costa Rica,Americas,c,2015,F,1,1,12,15,10,0,0.0,37,16,11,13,13,53,90
Cote d'Ivoire,SSA,c,2015,PF,5,4,6,7,4,0,0.0,17,10,7,6,6,29,46
Crimea,Eurasia,t,2015,NF,7,6,0,0,0,1,0.0,-1,3,1,0,7,11,10
Croatia,Europe,c,2015,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Cuba,Americas,c,2015,NF,7,6,0,0,1,0,0.0,1,4,0,3,6,13,14
Cyprus,Europe,c,2015,F,1,1,11,16,10,0,0.0,37,15,12,15,14,56,93
Czech Republic,Europe,c,2015,F,1,1,12,15,11,0,0.0,38,16,12,14,15,57,95
Denmark,Europe,c,2015,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Djibouti,SSA,c,2015,NF,6,5,3,3,3,0,0.0,9,6,3,4,6,19,28
Dominica,Americas,c,2015,F,1,1,12,16,10,0,0.0,38,15,12,15,15,57,95
Dominican Republic,Americas,c,2015,F,2,3,10,11,9,0,0.0,30,15,10,8,10,43,73
Ecuador,Americas,c,2015,PF,3,3,7,11,6,0,0.0,24,12,7,6,10,35,59
Egypt,MENA,c,2015,NF,6,5,2,4,2,0,0.0,8,5,4,2,7,18,26
El Salvador,Americas,c,2015,F,2,3,12,14,9,0,0.0,35,15,8,8,9,40,75
Equatorial Guinea,SSA,c,2015,NF,7,7,0,1,0,0,0.0,1,4,0,0,3,7,8
Eritrea,SSA,c,2015,NF,7,7,0,0,1,0,0.0,1,0,0,0,2,2,3
Estonia,Europe,c,2015,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2015,NF,6,6,1,2,4,0,0.0,7,3,0,3,5,11,18
Fiji,Asia,c,2015,PF,3,4,9,11,6,0,0.0,26,11,4,9,10,34,60
Finland,Europe,c,2015,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2015,F,1,1,12,15,11,0,0.0,38,15,12,15,15,57,95
Gabon,SSA,c,2015,NF,6,5,2,4,3,0,0.0,9,10,4,6,5,25,34
Gaza Strip,MENA,t,2015,NF,7,6,2,2,1,0,0.0,5,5,3,0,2,10,15
Georgia,Eurasia,c,2015,PF,3,3,9,10,7,0,0.0,26,12,8,8,10,38,64
Germany,Europe,c,2015,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Ghana,SSA,c,2015,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2015,F,2,2,12,15,8,0,0.0,35,14,11,10,13,48,83
Grenada,Americas,c,2015,F,1,2,12,16,10,0,0.0,38,15,11,12,13,51,89
Guatemala,Americas,c,2015,PF,3,4,9,10,5,0,0.0,24,12,6,5,8,31,55
Guinea,SSA,c,2015,PF,5,5,6,8,3,0,0.0,17,9,6,4,5,24,41
Guinea-Bissau,SSA,c,2015,PF,5,5,8,8,1,0,0.0,17,10,5,3,5,23,40
Guyana,Americas,c,2015,F,2,3,11,13,6,0,0.0,30,15,10,7,9,41,71
Haiti,Americas,c,2015,PF,5,5,4,8,5,0,0.0,17,10,4,4,6,24,41
Honduras,Americas,c,2015,PF,4,4,7,9,4,0,0.0,20,10,6,5,8,29,49
Hong Kong,Asia,t,2015,PF,5,2,3,7,6,0,0.0,16,13,8,15,13,49,65
Hungary,Europe,c,2015,F,2,2,9,15,8,0,0.0,32,14,11,11,14,50,82
Iceland,Europe,c,2015,F,1,1,12,16,11,0,0.0,39,16,12,16,16,60,99
India,Asia,c,2015,F,2,3,12,14,9,0,0.0,35,13,11,9,10,43,78
Indian Kashmir,Asia,t,2015,PF,4,4,9,9,4,0,0.0,22,9,6,6,8,29,51
Indonesia,Asia,c,2015,PF,2,4,10,14,6,0,0.0,30,12,8,5,9,34,64
Iran,MENA,c,2015,NF,6,6,3,2,2,0,0.0,7,2,1,3,4,10,17
Iraq,MENA,c,2015,NF,6,6,8,5,1,3,0.0,11,5,4,0,4,13,24
Ireland,Europe,c,2015,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2015,F,1,2,12,14,10,0,0.0,36,12,10,11,11,44,80
Italy,Europe,c,2015,F,1,1,12,14,10,0,0.0,36,15,12,12,14,53,89
Jamaica,Americas,c,2015,F,2,3,12,13,9,0,0.0,34,15,9,6,10,40,74
Japan,Asia,c,2015,F,1,1,12,15,12,0,0.0,39,15,11,15,14,55,94
Jordan,MENA,c,2015,NF,6,5,2,6,3,0,0.0,11,7,4,6,8,25,36
Kazakhstan,Eurasia,c,2015,NF,6,5,2,3,1,0,0.0,6,4,2,4,8,18,24
Kenya,SSA,c,2015,PF,4,4,7,10,5,0,0.0,22,11,6,5,7,29,51
Kiribati,Asia,c,2015,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,c,2015,PF,4,4,9,10,4,0,0.0,23,9,6,6,8,29,52
Kuwait,MENA,c,2015,PF,5,5,2,7,5,0,0.0,14,6,4,7,6,23,37
Kyrgyzstan,Eurasia,c,2015,PF,5,5,6,6,4,2,0.0,14,9,4,4,7,24,38
Laos,Asia,c,2015,NF,7,6,0,0,1,0,0.0,1,4,0,2,5,11,12
Latvia,Europe,c,2015,F,2,2,12,14,8,0,0.0,34,15,12,12,12,51,85
Lebanon,MENA,c,2015,PF,5,4,2,9,3,0,0.0,14,11,7,5,7,30,44
Lesotho,SSA,c,2015,F,2,3,10,12,8,0,0.0,30,14,7,11,9,41,71
Liberia,SSA,c,2015,PF,3,4,9,11,6,0,0.0,26,10,7,6,7,30,56
Libya,MENA,c,2015,NF,6,6,5,3,0,0,0.0,8,6,3,1,5,15,23
Liechtenstein,Europe,c,2015,F,1,1,12,15,12,0,0.0,39,16,12,15,16,59,98
Lithuania,Europe,c,2015,F,1,1,12,16,10,0,0.0,38,16,11,13,13,53,91
Luxembourg,Europe,c,2015,F,1,1,12,16,10,0,0.0,38,16,12,16,16,60,98
Macedonia,Europe,c,2015,PF,4,3,7,10,6,0,0.0,23,11,8,8,10,37,60
Madagascar,SSA,c,2015,PF,4,4,9,9,4,0,0.0,22,9,8,6,7,30,52
Malawi,SSA,c,2015,PF,3,4,8,12,7,0,0.0,27,11,7,9,7,34,61
Malaysia,Asia,c,2015,PF,4,4,6,7,6,0,0.0,19,7,6,5,9,27,46
