Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2007,PF,5,5,5,5,3,0,0.0,13,8,4,4,5,21,34
Afghanistan,Asia,c,2007,PF,5,5,6,7,4,0,0.0,17,5,5,3,5,18,35
Albania,Europe,c,2007,PF,3,3,8,11,7,0,0.0,26,11,8,10,9,38,64
Algeria,MENA,c,2007,NF,6,5,4,4,3,0,0.0,11,7,6,5,7,25,36
Andorra,Europe,c,2007,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2007,NF,6,5,2,5,1,0,0.0,8,8,6,4,3,21,29
Antigua and Barbuda,Americas,c,2007,F,2,2,11,12,7,0,0.0,30,13,9,12,13,47,77
Argentina,Americas,c,2007,F,2,2,11,15,7,0,0.0,33,14,11,10,13,48,81
Armenia,Eurasia,c,2007,PF,5,4,4,5,4,0,0.0,13,8,5,6,9,28,41
Australia,Asia,c,2007,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
Austria,Europe,c,2007,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Azerbaijan,Eurasia,c,2007,NF,6,5,3,4,3,0,0.0,10,7,3,4,8,22,32
Bahamas,Americas,c,2007,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2007,PF,5,5,3,9,4,0,0.0,16,8,3,4,5,20,36
Bangladesh,Asia,c,2007,PF,4,4,8,10,4,0,0.0,22,8,8,6,9,31,53
Barbados,Americas,c,2007,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2007,NF,7,6,0,3,1,0,0.0,4,3,0,2,5,10,14
Belgium,Europe,c,2007,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Belize,Americas,c,2007,F,1,2,12,14,10,0,0.0,36,15,11,12,13,51,87
Benin,SSA,c,2007,F,2,2,10,15,8,0,0.0,33,15,12,12,10,49,82
Bhutan,Asia,c,2007,NF,6,5,3,1,5,1,2.0,10,7,2,4,8,21,31
Bolivia,Americas,c,2007,PF,3,3,11,13,4,0,0.0,28,15,11,8,9,43,71
Bosnia and Herzegovina,Europe,c,2007,PF,3,3,8,11,6,0,0.0,25,11,8,10,10,39,64
Botswana,SSA,c,2007,F,2,2,11,11,9,0,0.0,31,14,10,13,10,47,78
Brazil,Americas,c,2007,F,2,2,11,14,6,0,0.0,31,15,10,8,12,45,76
Brunei,Asia,c,2007,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2007,F,1,2,12,15,9,0,0.0,36,14,11,12,12,49,85
Burkina Faso,SSA,c,2007,PF,5,3,5,8,4,0,0.0,17,14,9,6,8,37,54
Burundi,SSA,c,2007,PF,4,5,9,9,4,0,0.0,22,8,5,4,6,23,45
Cambodia,Asia,c,2007,NF,6,5,3,5,3,0,0.0,11,9,6,2,7,24,35
Cameroon,SSA,c,2007,NF,6,6,3,5,3,0,0.0,11,7,3,2,4,16,27
Canada,Americas,c,2007,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
Cape Verde,SSA,c,2007,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2007,PF,5,4,7,7,3,0,0.0,17,10,9,3,4,26,43
Chad,SSA,c,2007,NF,6,6,3,1,2,0,0.0,6,7,5,1,3,16,22
Chechnya,Eurasia,t,2007,NF,7,7,0,0,0,0,0.0,0,4,0,0,2,6,6
Chile,Americas,c,2007,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
China,Asia,c,2007,NF,7,6,0,1,1,0,0.0,2,4,2,2,7,15,17
Colombia,Americas,c,2007,PF,3,3,10,9,7,0,0.0,26,12,7,7,10,36,62
Comoros,SSA,c,2007,PF,3,4,9,11,4,0,0.0,24,10,6,8,6,30,54
Congo (Brazzaville),SSA,c,2007,NF,6,5,3,5,3,0,0.0,11,9,7,2,6,24,35
Congo (Kinshasa),SSA,c,2007,NF,5,6,6,6,2,0,0.0,14,6,5,0,1,12,26
