Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2018,PF,4,5,6,8,4,0,,18,8,6,4,5,23,41
Afghanistan,Asia,c,2018,NF,5,6,2,7,3,0,,12,6,4,2,2,14,26
Albania,Europe,c,2018,PF,3,3,8,13,7,0,,28,13,9,9,9,40,68
Algeria,MENA,c,2018,NF,6,5,3,4,3,0,,10,7,5,6,7,25,35
Andorra,Europe,c,2018,F,1,1,12,15,12,0,,39,15,11,15,16,57,96
Angola,SSA,c,2018,NF,6,6,3,6,1,0,,10,7,3,3,3,16,26
Antigua and Barbuda,Americas,c,2018,F,2,2,12,13,8,0,,33,15,9,13,13,50,83
Argentina,Americas,c,2018,F,2,2,11,14,8,0,,33,15,11,10,14,50,83
Armenia,Eurasia,c,2018,PF,5,4,4,7,4,0,,15,9,6,6,9,30,45
Australia,Asia,c,2018,F,1,1,12,16,12,0,,40,16,12,15,15,58,98
Austria,Europe,c,2018,F,1,1,12,15,10,0,,37,15,12,15,15,57,94
Azerbaijan,Eurasia,c,2018,NF,7,6,1,2,0,0,,3,2,1,1,5,9,12
Bahamas,Americas,c,2018,F,1,1,12,16,10,0,,38,15,12,13,13,53,91
Bahrain,MENA,c,2018,NF,7,6,2,0,3,3,,2,2,1,1,6,10,12
Bangladesh,Asia,c,2018,PF,4,4,7,7,5,0,,19,7,5,5,9,26,45
Barbados,Americas,c,2018,F,1,1,12,16,10,0,,38,16,12,15,15,58,96
Belarus,Eurasia,c,2018,NF,6,6,0,4,2,0,,6,3,3,2,7,15,21
Belgium,Europe,c,2018,F,1,1,12,16,11,0,,39,15,12,14,15,56,95
Belize,Americas,c,2018,F,1,2,12,14,10,0,,36,15,10,12,13,50,86
Benin,SSA,c,2018,F,2,2,9,16,8,0,,33,15,12,12,10,49,82
Bhutan,Asia,c,2018,PF,3,4,10,10,9,1,,28,9,4,6,8,27,55
Bolivia,Americas,c,2018,PF,3,3,10,11,7,0,,28,14,9,6,10,39,67
Bosnia and Herzegovina,Europe,c,2018,PF,4,4,7,10,4,0,,21,10,7,7,10,34,55
Botswana,SSA,c,2018,F,3,2,10,10,8,0,,28,12,10,11,11,44,72
Brazil,Americas,c,2018,F,2,2,11,14,6,0,,31,15,10,9,13,47,78
Brunei,Asia,c,2018,NF,6,5,0,3,3,0,,6,6,3,6,7,22,28
Bulgaria,Europe,c,2018,F,2,2,11,14,8,0,,33,14,11,10,12,47,80
Burkina Faso,SSA,c,2018,PF,4,3,7,10,6,0,,23,13,9,7,8,37,60
Burundi,SSA,c,2018,NF,7,6,1,3,0,0,,4,6,2,1,5,14,18
Cambodia,Asia,c,2018,NF,6,5,4,3,3,0,,10,8,3,3,6,20,30
Cameroon,SSA,c,2018,NF,6,6,3,3,3,0,,9,6,2,1,4,13,22
Canada,Americas,c,2018,F,1,1,12,16,12,0,,40,16,12,15,16,59,99
Cape Verde,SSA,c,2018,F,1,1,12,15,10,0,,37,15,11,14,13,53,90
Central African Republic,SSA,c,2018,NF,7,7,3,2,0,1,,4,4,1,0,0,5,9
Chad,SSA,c,2018,NF,7,6,2,1,1,0,,4,6,4,1,3,14,18
Chile,Americas,c,2018,F,1,1,12,15,10,0,,37,16,12,14,15,57,94
China,Asia,c,2018,NF,7,6,0,0,2,2,,0,3,3,2,6,14,14
Colombia,Americas,c,2018,PF,3,3,10,11,8,0,,29,12,5,9,10,36,65
Comoros,SSA,c,2018,PF,3,4,9,11,4,0,,24,10,7,8,6,31,55
Congo (Brazzaville),SSA,c,2018,NF,7,5,0,2,0,0,,2,7,5,1,6,19,21
Congo (Kinshasa),SSA,c,2018,NF,7,6,0,3,1,0,,4,7,2,0,4,13,17
Costa Rica,Americas,c,2018,F,1,1,12,15,11,0,,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,c,2018,PF,4,4,7,8,4,0,,19,11,8,6,7,32,51
Crimea,Eurasia,t,2018,NF,7,6,0,0,0,1,,-1,3,1,0,6,10,9
Croatia,Europe,c,2018,F,1,2,12,15,10,0,,37,13,12,11,13,49,86
Cuba,Americas,c,2018,NF,7,6,0,0,1,0,,1,5,0,2,6,13,14
Cyprus,Europe,c,2018,F,1,1,11,16,11,0,,38,15,12,15,14,56,94
Czech Republic,Europe,c,2018,F,1,1,12,15,10,0,,37,15,12,14,15,56,93
Denmark,Europe,c,2018,F,1,1,12,16,12,0,,40,16,12,14,15,57,97
Djibouti,SSA,c,2018,NF,6,5,2,3,2,0,,7,6,3,4,6,19,26
Dominica,Americas,c,2018,F,1,1,11,16,10,0,,37,15,11,15,15,56,93
Dominican Republic,Americas,c,2018,PF,3,3,9,10,7,0,,26,14,10,8,9,41,67
Ecuador,Americas,c,2018,PF,3,3,7,11,7,0,,25,12,7,6,10,35,60
Egypt,MENA,c,2018,NF,6,6,3,4,3,0,,10,5,2,3,6,16,26
El Salvador,Americas,c,2018,F,2,3,11,14,9,0,,34,12,8,8,8,36,70
Equatorial Guinea,SSA,c,2018,NF,7,7,0,1,0,0,,1,3,0,0,3,6,7
Eritrea,SSA,c,2018,NF,7,7,0,0,1,0,,1,0,0,0,2,2,3
Estonia,Europe,c,2018,F,1,1,12,15,11,0,,38,16,12,14,14,56,94
Ethiopia,SSA,c,2018,NF,7,6,1,0,3,0,,4,2,0,2,4,8,12
Fiji,Asia,c,2018,PF,3,3,8,9,7,0,,24,12,6,7,10,35,59
Finland,Europe,c,2018,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
France,Europe,c,2018,F,1,2,12,15,11,0,,38,14,11,13,14,52,90
Gabon,SSA,c,2018,NF,7,5,0,2,2,0,,4,8,3,3,5,19,23
Gaza Strip,MENA,t,2018,NF,7,6,0,2,1,0,,3,4,3,0,2,9,12
Georgia,Eurasia,c,2018,PF,3,3,9,10,7,0,,26,11,8,8,11,38,64
Germany,Europe,c,2018,F,1,1,12,15,12,0,,39,14,12,14,15,55,94
Ghana,SSA,c,2018,F,1,2,12,15,10,0,,37,14,11,11,10,46,83
Greece,Europe,c,2018,F,2,2,12,15,8,0,,35,14,12,11,13,50,85
Grenada,Americas,c,2018,F,1,2,11,16,10,0,,37,15,11,12,13,51,88
Guatemala,Americas,c,2018,PF,4,4,8,10,5,0,,23,12,6,7,8,33,56
Guinea,SSA,c,2018,PF,5,5,6,8,3,0,,17,10,5,4,5,24,41
Guinea-Bissau,SSA,c,2018,PF,5,5,7,8,1,0,,16,10,6,4,5,25,41
Guyana,Americas,c,2018,F,2,3,11,13,8,0,,32,15,10,8,9,42,74
Haiti,Americas,c,2018,PF,5,5,5,7,5,0,,17,10,4,4,6,24,41
Honduras,Americas,c,2018,PF,4,4,7,8,5,0,,20,9,4,5,8,26,46
Hong Kong,Asia,t,2018,PF,5,2,2,7,6,0,,15,12,8,11,13,44,59
Hungary,Europe,c,2018,F,3,2,9,12,7,0,,28,11,10,10,13,44,72
Iceland,Europe,c,2018,F,1,1,12,15,10,0,,37,15,12,15,16,58,95
India,Asia,c,2018,F,2,3,12,14,9,0,,35,13,10,9,10,42,77
Indian Kashmir,Asia,t,2018,PF,4,4,9,9,4,0,,22,9,5,5,8,27,49
Indonesia,Asia,c,2018,PF,2,4,11,13,6,0,,30,12,8,5,9,34,64
Iran,MENA,c,2018,NF,6,6,3,2,2,0,,7,3,1,3,4,11,18
Iraq,MENA,c,2018,NF,5,6,8,7,2,1,,16,5,6,0,4,15,31
Ireland,Europe,c,2018,F,1,1,12,16,11,0,,39,16,12,14,15,57,96
Israel,MENA,c,2018,F,1,3,12,14,10,0,,36,12,9,11,11,43,79
Italy,Europe,c,2018,F,1,1,12,14,10,0,,36,15,12,12,14,53,89
Jamaica,Americas,c,2018,F,2,3,12,13,9,0,,34,15,9,8,11,43,77
Japan,Asia,c,2018,F,1,1,12,16,12,0,,40,15,12,15,14,56,96
Jordan,MENA,c,2018,PF,5,5,3,6,3,0,,12,7,3,7,8,25,37
Kazakhstan,Eurasia,c,2018,NF,7,5,1,3,1,0,,5,4,1,4,8,17,22
Kenya,SSA,c,2018,PF,4,4,6,8,5,0,,19,10,7,5,7,29,48
Kiribati,Asia,c,2018,F,1,1,12,16,10,0,,38,15,12,15,13,55,93
Kosovo,Europe,c,2018,PF,3,4,9,10,5,0,,24,9,6,6,7,28,52
Kuwait,MENA,c,2018,PF,5,5,2,7,4,0,,13,6,4,7,6,23,36
Kyrgyzstan,Eurasia,c,2018,PF,5,5,4,5,4,1,,12,10,4,4,7,25,37
Laos,Asia,c,2018,NF,7,6,0,0,1,0,,1,4,0,2,5,11,12
Latvia,Europe,c,2018,F,2,2,12,14,9,0,,35,15,12,12,13,52,87
Lebanon,MENA,c,2018,PF,6,4,3,7,1,0,,11,12,8,5,7,32,43
Lesotho,SSA,c,2018,PF,3,3,10,11,6,0,,27,12,7,9,9,37,64
Liberia,SSA,c,2018,PF,3,3,8,12,7,0,,27,11,8,7,9,35,62
Libya,MENA,c,2018,NF,7,6,0,1,0,0,,1,4,2,0,2,8,9
Liechtenstein,Europe,c,2018,F,2,1,10,13,10,0,,33,16,12,14,15,57,90
Lithuania,Europe,c,2018,F,1,1,12,16,10,0,,38,16,11,12,14,53,91
Luxembourg,Europe,c,2018,F,1,1,12,16,10,0,,38,16,12,16,16,60,98
Macedonia,Europe,c,2018,PF,4,3,6,9,6,0,,21,11,8,8,10,37,58
Madagascar,SSA,c,2018,PF,3,4,9,10,5,0,,24,10,8,6,8,32,56
Malawi,SSA,c,2018,PF,3,3,8,12,6,0,,26,13,8,9,7,37,63
Malaysia,Asia,c,2018,PF,4,4,6,7,5,0,,18,7,6,5,9,27,45
Maldives,Asia,c,2018,PF,5,5,5,5,4,0,,14,3,5,6,7,21,35
Mali,SSA,c,2018,PF,5,4,6,7,4,0,,17,11,6,6,4,27,44
Malta,Europe,c,2018,F,1,1,12,14,10,0,,36,15,12,15,14,56,92
Marshall Islands,Asia,c,2018,F,1,1,12,15,10,0,,37,16,11,15,13,55,92
Mauritania,SSA,c,2018,NF,6,5,3,2,4,0,,9,9,4,4,4,21,30
Mauritius,SSA,c,2018,F,1,2,12,15,10,0,,37,15,12,13,12,52,89
Mexico,Americas,c,2018,PF,3,3,9,12,5,0,,26,13,7,6,10,36,62
Micronesia,Asia,c,2018,F,1,1,12,15,10,0,,37,16,11,15,14,56,93
Moldova,Eurasia,c,2018,PF,3,3,10,11,5,0,,26,12,8,6,9,35,61
Monaco,Europe,c,2018,F,3,1,7,10,8,0,,25,16,12,15,14,57,82
Mongolia,Asia,c,2018,F,1,2,11,16,9,0,,36,14,11,12,12,49,85
Montenegro,Europe,c,2018,PF,3,3,8,10,7,0,,25,11,9,10,12,42,67
Morocco,MENA,c,2018,PF,5,5,5,6,3,0,,14,7,5,6,7,25,39
Mozambique,SSA,c,2018,PF,4,4,6,9,5,0,,20,9,7,7,9,32,52
Myanmar,Asia,c,2018,PF,5,5,5,8,4,4,,13,6,6,1,5,18,31
Nagorno-Karabakh,Eurasia,t,2018,PF,5,5,4,5,3,0,,12,6,3,4,5,18,30
Namibia,SSA,c,2018,F,2,2,10,11,9,0,,30,14,12,11,10,47,77
Nauru,Asia,c,2018,F,2,2,12,15,8,0,,35,13,9,10,14,46,81
Nepal,Asia,c,2018,PF,3,4,10,10,5,0,,25,10,6,6,8,30,55
Netherlands,Europe,c,2018,F,1,1,12,16,12,0,,40,16,12,15,16,59,99
New Zealand,Asia,c,2018,F,1,1,12,16,12,0,,40,16,12,15,15,58,98
Nicaragua,Americas,c,2018,PF,5,4,3,6,3,0,,12,11,5,6,10,32,44
Niger,SSA,c,2018,PF,4,4,6,8,6,0,,20,11,6,6,6,29,49
Nigeria,SSA,c,2018,PF,3,5,9,10,6,0,,25,9,7,4,5,25,50
North Korea,Asia,c,2018,NF,7,7,0,0,0,0,,0,0,0,0,3,3,3
Northern Cyprus,Europe,t,2018,F,2,2,11,13,7,0,,31,15,11,13,11,50,81
Norway,Europe,c,2018,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
Oman,MENA,c,2018,NF,6,5,2,2,2,0,,6,5,3,4,5,17,23
Pakistan,Asia,c,2018,PF,4,5,6,8,5,0,,19,7,6,5,6,24,43
Pakistani Kashmir,Asia,t,2018,NF,6,5,4,4,3,2,,9,6,4,3,6,19,28
Palau,Asia,c,2018,F,1,1,12,15,10,0,,37,16,11,15,13,55,92
Panama,Americas,c,2018,F,2,2,12,15,8,0,,35,15,11,10,12,48,83
Papua New Guinea,Asia,c,2018,PF,3,3,8,13,4,0,,25,13,9,7,9,38,63
Paraguay,Americas,c,2018,PF,3,3,10,12,5,0,,27,12,8,7,10,37,64
Peru,Americas,c,2018,F,2,3,11,13,7,0,,31,15,8,8,11,42,73
Philippines,Asia,c,2018,PF,3,3,9,11,7,0,,27,14,8,3,10,35,62
Poland,Europe,c,2018,F,1,2,12,16,8,0,,36,14,10,11,14,49,85
Portugal,Europe,c,2018,F,1,1,12,16,11,0,,39,16,12,15,15,58,97
Qatar,MENA,c,2018,NF,6,5,2,2,3,0,,7,7,2,4,4,17,24
Romania,Europe,c,2018,F,2,2,11,14,10,0,,35,14,11,12,12,49,84
Russia,Eurasia,c,2018,NF,7,6,0,3,2,0,,5,3,3,2,7,15,20
Rwanda,SSA,c,2018,NF,6,6,2,1,5,0,,8,4,2,2,7,15,23
Samoa,Asia,c,2018,F,2,2,9,12,9,0,,30,14,10,14,12,50,80
San Marino,Europe,c,2018,F,1,1,12,15,11,0,,38,15,12,16,16,59,97
Sao Tome and Principe,SSA,c,2018,F,2,2,11,14,9,0,,34,15,10,12,11,48,82
Saudi Arabia,MENA,c,2018,NF,7,7,0,0,1,1,,0,3,0,2,2,7,7
Senegal,SSA,c,2018,F,2,2,10,13,8,0,,31,13,10,10,11,44,75
Serbia,Europe,c,2018,F,3,2,9,12,7,0,,28,13,10,9,13,45,73
Seychelles,SSA,c,2018,PF,3,3,10,11,7,0,,28,12,9,11,11,43,71
Sierra Leone,SSA,c,2018,PF,3,3,10,11,7,0,,28,12,7,9,10,38,66
Singapore,Asia,c,2018,PF,4,4,4,8,7,0,,19,10,4,7,12,33,52
Slovakia,Europe,c,2018,F,1,1,12,15,9,0,,36,15,12,12,14,53,89
Slovenia,Europe,c,2018,F,1,1,12,16,11,0,,39,14,12,14,14,54,93
Solomon Islands,Asia,c,2018,F,3,2,9,13,6,0,,28,14,9,9,12,44,72
Somalia,SSA,c,2018,NF,7,7,0,1,0,0,,1,3,2,0,1,6,7
Somaliland,SSA,t,2018,PF,4,5,5,10,4,0,,19,7,5,7,6,25,44
South Africa,SSA,c,2018,F,2,2,12,13,7,0,,32,15,12,9,10,46,78
South Korea,Asia,c,2018,F,2,2,11,13,9,0,,33,14,11,13,13,51,84
South Ossetia,Eurasia,t,2018,NF,7,6,2,2,0,2,,2,3,1,1,3,8,10
South Sudan,SSA,c,2018,NF,7,7,1,1,0,4,,-2,2,2,0,0,4,2
Spain,Europe,c,2018,F,1,1,11,16,11,0,,38,15,11,15,15,56,94
Sri Lanka,Asia,c,2018,PF,3,4,8,10,7,1,,24,8,8,7,8,31,55
St. Kitts and Nevis,Americas,c,2018,F,1,1,10,16,10,0,,36,15,12,13,13,53,89
St. Lucia,Americas,c,2018,F,1,1,11,16,11,0,,38,15,12,12,14,53,91
St. Vincent and the Grenadines,Americas,c,2018,F,1,1,11,15,10,0,,36,15,12,13,14,54,90
Sudan,SSA,c,2018,NF,7,7,2,4,1,3,,4,2,1,0,1,4,8
Suriname,Americas,c,2018,F,2,2,12,14,8,0,,34,15,11,8,10,44,78
Swaziland,SSA,c,2018,NF,7,6,0,1,0,0,,1,5,2,4,4,15,16
Sweden,Europe,c,2018,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
Switzerland,Europe,c,2018,F,1,1,12,15,12,0,,39,15,12,15,15,57,96
