Country/Territory,Region,C/T?,Edition,Status,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Total
Abkhazia,Eurasia,t,2010,PF,5,5,5,5,4,0,0.0,14,7,5,4,5,21,35
Afghanistan,Asia,c,2010,NF,6,6,4,6,1,0,0.0,11,5,4,2,5,16,27
Albania,Europe,c,2010,PF,3,3,8,11,7,0,0.0,26,13,8,9,9,39,65
Algeria,MENA,c,2010,NF,6,5,4,4,3,0,0.0,11,7,6,5,7,25,36
Andorra,Europe,c,2010,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2010,NF,6,5,3,6,1,0,0.0,10,8,6,4,3,21,31
Antigua and Barbuda,Americas,c,2010,F,3,2,11,12,6,0,0.0,29,13,9,12,13,47,76
Argentina,Americas,c,2010,F,2,2,11,15,6,0,0.0,32,14,11,10,13,48,80
Armenia,Eurasia,c,2010,PF,6,4,4,4,3,0,0.0,11,8,5,6,9,28,39
Australia,Asia,c,2010,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
Austria,Europe,c,2010,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Azerbaijan,Eurasia,c,2010,NF,6,5,2,3,3,0,0.0,8,6,3,4,8,21,29
Bahamas,Americas,c,2010,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2010,NF,6,5,3,6,4,2,0.0,11,8,3,3,7,21,32
Bangladesh,Asia,c,2010,PF,3,4,9,11,6,0,0.0,26,9,8,7,9,33,59
Barbados,Americas,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2010,NF,7,6,0,3,1,0,0.0,4,3,1,2,5,11,15
Belgium,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Belize,Americas,c,2010,F,1,2,12,14,11,0,0.0,37,15,11,12,13,51,88
Benin,SSA,c,2010,F,2,2,9,15,8,0,0.0,32,15,12,11,10,48,80
Bhutan,Asia,c,2010,PF,4,5,7,7,6,1,0.0,19,8,3,5,8,24,43
Bolivia,Americas,c,2010,PF,3,3,11,12,5,0,0.0,28,14,10,7,9,40,68
Bosnia and Herzegovina,Europe,c,2010,PF,4,3,8,10,5,0,0.0,23,11,7,10,10,38,61
Botswana,SSA,c,2010,F,3,2,10,11,8,0,0.0,29,13,10,12,11,46,75
Brazil,Americas,c,2010,F,2,2,11,14,7,0,0.0,32,15,10,8,12,45,77
Brunei,Asia,c,2010,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2010,F,2,2,12,15,8,0,0.0,35,14,11,11,11,47,82
Burkina Faso,SSA,c,2010,PF,5,3,5,8,4,0,0.0,17,13,8,6,8,35,52
Burundi,SSA,c,2010,PF,4,5,9,9,4,0,0.0,22,8,5,4,6,23,45
Cambodia,Asia,c,2010,NF,6,5,3,5,3,0,0.0,11,9,5,1,6,21,32
Cameroon,SSA,c,2010,NF,6,6,2,3,3,0,0.0,8,7,3,2,4,16,24
Canada,Americas,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
Cape Verde,SSA,c,2010,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2010,PF,5,5,7,7,3,0,0.0,17,10,5,3,4,22,39
Chad,SSA,c,2010,NF,7,6,3,1,1,0,0.0,5,7,4,1,3,15,20
Chile,Americas,c,2010,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
China,Asia,c,2010,NF,7,6,0,1,1,1,0.0,1,4,3,2,7,16,17
Colombia,Americas,c,2010,PF,3,4,10,9,7,0,0.0,26,11,5,7,10,33,59
Comoros,SSA,c,2010,PF,3,4,9,11,5,0,0.0,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,c,2010,NF,6,5,1,3,3,0,0.0,7,8,6,2,6,22,29
Congo (Kinshasa),SSA,c,2010,NF,6,6,6,3,2,0,0.0,11,6,3,0,1,10,21
Costa Rica,Americas,c,2010,F,1,1,12,15,11,0,0.0,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,c,2010,NF,6,5,1,3,2,0,0.0,6,5,4,6,5,20,26
Croatia,Europe,c,2010,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Cuba,Americas,c,2010,NF,7,6,0,0,1,0,0.0,1,2,1,2,3,8,9
Cyprus,Europe,c,2010,F,1,1,11,16,11,0,0.0,38,15,12,15,14,56,94
Czech Republic,Europe,c,2010,F,1,1,12,15,11,0,0.0,38,16,12,14,15,57,95
Denmark,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,11,14,15,56,96
Djibouti,SSA,c,2010,PF,5,5,4,5,3,0,0.0,12,7,5,5,6,23,35
Dominica,Americas,c,2010,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Dominican Republic,Americas,c,2010,F,2,2,11,13,9,0,0.0,33,15,11,8,11,45,78
Ecuador,Americas,c,2010,PF,3,3,9,14,6,0,0.0,29,14,9,6,10,39,68
Egypt,MENA,c,2010,NF,6,5,1,4,2,0,0.0,7,7,2,4,7,20,27
El Salvador,Americas,c,2010,F,2,3,12,14,8,0,0.0,34,15,8,7,10,40,74
Equatorial Guinea,SSA,c,2010,NF,7,7,0,1,0,0,0.0,1,4,0,0,3,7,8
Eritrea,SSA,c,2010,NF,7,7,0,1,2,0,0.0,3,1,0,0,4,5,8
Estonia,Europe,c,2010,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2010,PF,5,5,5,4,4,0,0.0,13,6,2,4,6,18,31
Fiji,Asia,c,2010,PF,6,4,0,5,2,0,0.0,7,10,4,7,10,31,38
Finland,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2010,F,1,1,12,15,11,0,0.0,38,16,12,15,15,58,96
Gabon,SSA,c,2010,NF,6,5,2,4,3,0,0.0,9,10,4,6,5,25,34
Georgia,Eurasia,c,2010,PF,4,4,6,8,6,0,0.0,20,11,7,6,10,34,54
Germany,Europe,c,2010,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Ghana,SSA,c,2010,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2010,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Grenada,Americas,c,2010,F,1,2,12,16,10,0,0.0,38,15,10,12,15,52,90
Guatemala,Americas,c,2010,PF,4,4,9,10,4,0,0.0,23,12,8,5,8,33,56
Guinea,SSA,c,2010,NF,7,6,0,2,0,0,0.0,2,6,2,0,5,13,15
Guinea-Bissau,SSA,c,2010,PF,4,4,9,9,3,0,0.0,21,10,8,4,5,27,48
Guyana,Americas,c,2010,F,2,3,11,13,7,0,0.0,31,15,10,7,9,41,72
Haiti,Americas,c,2010,PF,4,5,7,10,5,0,0.0,22,10,6,4,5,25,47
Honduras,Americas,c,2010,PF,4,4,6,8,4,0,0.0,18,11,6,7,9,33,51
Hong Kong,Asia,t,2010,PF,5,2,3,7,6,0,0.0,16,14,10,15,13,52,68
Hungary,Europe,c,2010,F,1,1,12,15,10,0,0.0,37,16,12,12,14,54,91
Iceland,Europe,c,2010,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
India,Asia,c,2010,F,2,3,11,14,9,0,0.0,34,13,10,9,10,42,76
Indian Kashmir,Asia,t,2010,PF,4,4,8,8,4,0,0.0,20,8,6,4,8,26,46
Indonesia,Asia,c,2010,F,2,3,11,13,6,0,0.0,30,11,9,6,9,35,65
Iran,MENA,c,2010,NF,6,6,2,2,3,0,0.0,7,3,3,3,4,13,20
Iraq,MENA,c,2010,NF,5,6,7,5,2,2,0.0,12,5,4,1,4,14,26
Ireland,Europe,c,2010,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2010,F,1,2,12,14,10,0,0.0,36,13,11,11,11,46,82
Israeli Occupied Territories,MENA,t,2010,NF,6,6,3,2,3,2,0.0,6,6,5,1,3,15,21
Italy,Europe,c,2010,F,1,2,12,15,10,0,0.0,37,14,12,12,14,52,89
Jamaica,Americas,c,2010,F,2,3,12,14,8,0,0.0,34,15,9,7,10,41,75
Japan,Asia,c,2010,F,1,2,12,15,10,0,0.0,37,13,10,15,13,51,88
Jordan,MENA,c,2010,NF,6,5,2,5,3,0,0.0,10,7,3,6,8,24,34
Kazakhstan,Eurasia,c,2010,NF,6,5,2,3,2,0,0.0,7,7,3,4,7,21,28
Kenya,SSA,c,2010,PF,4,4,6,9,4,0,0.0,19,13,8,6,6,33,52
Kiribati,Asia,c,2010,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,c,2010,PF,5,4,6,7,3,2,0.0,14,8,6,5,7,26,40
Kuwait,MENA,c,2010,PF,4,4,4,9,6,0,0.0,19,8,6,7,6,27,46
Kyrgyzstan,Eurasia,c,2010,NF,6,5,3,5,3,0,0.0,11,8,5,5,7,25,36
Laos,Asia,c,2010,NF,7,6,0,1,0,0,0.0,1,4,1,2,5,12,13
