Country/Territory,Region,C/T?,Edition,Status2020,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2020
Dominican Republic,Americas,c,2020,PF,3,3,9,10,7,0,,26,14,10,8,9,41,67
Eastern Donbas,Eurasia,t,2020,NF,7,7,0,0,0,1,,-1,2,0,0,4,6,5
Ecuador,Americas,c,2020,PF,3,3,8,12,7,0,,27,12,8,8,10,38,65
Egypt,MENA,c,2020,NF,6,6,2,3,2,0,,7,4,1,3,6,14,21
El Salvador,Americas,c,2020,PF,2,4,11,13,8,0,,32,11,8,7,8,34,66
Equatorial Guinea,SSA,c,2020,NF,7,7,0,0,0,0,,0,3,0,0,3,6,6
Eritrea,SSA,c,2020,NF,7,7,0,0,1,0,,1,0,0,0,1,1,2
Estonia,Europe,c,2020,F,1,1,12,15,11,0,,38,16,12,14,14,56,94
Eswatini,SSA,c,2020,NF,7,5,0,1,0,0,,1,5,3,5,5,18,19
Ethiopia,SSA,c,2020,NF,6,6,2,5,3,0,,10,4,4,2,4,14,24
Fiji,Asia,c,2020,PF,3,3,8,9,7,0,,24,12,7,7,10,36,60
Finland,Europe,c,2020,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
France,Europe,c,2020,F,1,2,12,15,11,0,,38,14,11,13,14,52,90
Gabon,SSA,c,2020,NF,7,5,0,2,1,0,,3,8,3,3,5,19,22
Gaza Strip,MENA,t,2020,NF,7,6,0,2,1,0,,3,4,2,0,2,8,11
Georgia,Eurasia,c,2020,PF,3,3,8,9,7,0,,24,10,7,8,12,37,61
Germany,Europe,c,2020,F,1,1,12,15,12,0,,39,14,12,14,15,55,94
Ghana,SSA,c,2020,F,2,2,12,13,10,0,,35,14,11,11,11,47,82
Greece,Europe,c,2020,F,1,2,12,15,10,0,,37,14,12,11,14,51,88
Grenada,Americas,c,2020,F,1,2,11,16,10,0,,37,15,11,13,13,52,89
Guatemala,Americas,c,2020,PF,4,4,7,10,4,0,,21,11,6,6,8,31,52
Guinea,SSA,c,2020,PF,5,5,5,7,3,0,,15,11,4,4,6,25,40
Guinea-Bissau,SSA,c,2020,PF,5,4,7,8,2,0,,17,11,8,5,5,29,46
Guyana,Americas,c,2020,F,2,3,10,13,8,0,,31,15,11,8,9,43,74
Haiti,Americas,c,2020,PF,5,5,5,7,4,0,,16,10,3,4,5,22,38
Honduras,Americas,c,2020,PF,4,4,7,8,4,0,,19,9,4,5,8,26,45
Hong Kong,Asia,t,2020,PF,5,3,2,8,6,0,,16,10,6,10,13,39,55
Hungary,Europe,c,2020,PF,3,3,9,11,7,0,,27,10,10,10,13,43,70
Iceland,Europe,c,2020,F,1,1,12,15,10,0,,37,15,12,15,15,57,94
India,Asia,c,2020,F,2,3,12,13,9,0,,34,10,8,9,10,37,71
Indian Kashmir,Asia,t,2020,NF,6,5,2,4,2,0,,8,6,3,4,7,20,28
Indonesia,Asia,c,2020,PF,2,4,11,13,6,0,,30,10,7,5,9,31,61
Iran,MENA,c,2020,NF,6,6,3,2,2,0,,7,2,1,3,4,10,17
Iraq,MENA,c,2020,NF,5,6,8,8,2,1,,17,5,4,1,4,14,31
Ireland,Europe,c,2020,F,1,1,12,16,11,0,,39,16,12,14,16,58,97
Israel,MENA,c,2020,F,2,3,12,13,8,0,,33,12,9,11,11,43,76
Italy,Europe,c,2020,F,1,1,12,14,10,0,,36,15,12,12,14,53,89
Jamaica,Americas,c,2020,F,2,2,12,13,9,0,,34,15,10,8,11,44,78
Japan,Asia,c,2020,F,1,1,12,16,12,0,,40,15,12,15,14,56,96
Jordan,MENA,c,2020,PF,5,5,3,6,3,0,,12,7,3,7,8,25,37
Kazakhstan,Eurasia,c,2020,NF,7,5,1,3,1,0,,5,4,2,4,8,18,23
Kenya,SSA,c,2020,PF,4,4,6,8,5,0,,19,10,7,5,7,29,48
Kiribati,Asia,c,2020,F,1,1,12,15,10,0,,37,16,12,15,13,56,93
Kosovo,Europe,c,2020,PF,3,4,9,11,5,0,,25,9,8,6,8,31,56
Kuwait,MENA,c,2020,PF,5,5,2,7,4,0,,13,6,4,7,6,23,36
Kyrgyzstan,Eurasia,c,2020,PF,5,4,4,5,4,1,,12,10,6,4,7,27,39
Laos,Asia,c,2020,NF,7,6,0,0,2,0,,2,4,0,2,6,12,14
Latvia,Europe,c,2020,F,1,2,12,15,10,0,,37,14,12,12,14,52,89
Lebanon,MENA,c,2020,PF,5,4,5,7,2,0,,14,11,8,5,6,30,44
Lesotho,SSA,c,2020,PF,3,3,10,11,6,0,,27,12,7,8,9,36,63
Liberia,SSA,c,2020,PF,3,4,8,12,7,0,,27,11,7,6,9,33,60
Libya,MENA,c,2020,NF,7,6,0,1,0,0,,1,4,2,0,2,8,9
Liechtenstein,Europe,c,2020,F,2,1,10,13,10,0,,33,16,12,14,15,57,90
Lithuania,Europe,c,2020,F,1,1,12,16,10,0,,38,16,11,12,14,53,91
Luxembourg,Europe,c,2020,F,1,1,12,16,10,0,,38,16,12,16,16,60,98
Madagascar,SSA,c,2020,PF,3,3,9,11,6,0,,26,11,9,7,8,35,61
Malawi,SSA,c,2020,PF,3,3,8,12,6,0,,26,13,7,9,7,36,62
Malaysia,Asia,c,2020,PF,4,4,6,9,6,0,,21,9,6,7,9,31,52
Maldives,Asia,c,2020,PF,4,5,7,7,4,0,,18,3,6,6,7,22,40
Mali,SSA,c,2020,PF,5,5,5,8,4,0,,17,10,6,4,4,24,41
Malta,Europe,c,2020,F,2,1,12,14,9,0,,35,14,12,15,14,55,90
Marshall Islands,Asia,c,2020,F,1,1,12,16,10,0,,38,16,11,15,13,55,93
Mauritania,SSA,c,2020,PF,5,5,6,3,4,0,,13,9,4,4,4,21,34
Mauritius,SSA,c,2020,F,1,2,12,15,10,0,,37,15,12,13,12,52,89
Mexico,Americas,c,2020,PF,3,3,9,13,5,0,,27,13,7,5,10,35,62
Micronesia,Asia,c,2020,F,1,1,12,15,10,0,,37,16,11,15,13,55,92
Moldova,Eurasia,c,2020,PF,3,4,9,12,5,0,,26,11,8,6,9,34,60
Monaco,Europe,c,2020,F,3,1,8,10,8,0,,26,16,12,14,15,57,83
Mongolia,Asia,c,2020,F,1,2,11,16,9,0,,36,14,11,11,12,48,84
Montenegro,Europe,c,2020,PF,4,3,8,9,5,0,,22,11,9,9,11,40,62
Morocco,MENA,c,2020,PF,5,5,5,5,3,0,,13,7,5,5,7,24,37
Mozambique,SSA,c,2020,PF,5,4,3,7,4,0,,14,9,6,7,9,31,45
Myanmar,Asia,c,2020,NF,5,6,5,9,4,4,,14,5,6,1,4,16,30
Nagorno-Karabakh,Eurasia,t,2020,PF,5,5,4,6,3,0,,13,7,5,4,5,21,34
Namibia,SSA,c,2020,F,2,2,11,12,8,0,,31,14,11,11,10,46,77
Nauru,Asia,c,2020,F,2,3,12,14,8,0,,34,13,9,9,12,43,77
Nepal,Asia,c,2020,PF,3,4,10,10,5,0,,25,10,7,6,8,31,56
Netherlands,Europe,c,2020,F,1,1,12,16,12,0,,40,16,12,15,16,59,99
New Zealand,Asia,c,2020,F,1,1,12,16,12,0,,40,16,12,14,15,57,97
Nicaragua,Americas,c,2020,NF,6,5,3,4,3,0,,10,7,2,4,8,21,31
Niger,SSA,c,2020,PF,4,4,6,8,6,0,,20,10,6,6,6,28,48
Nigeria,SSA,c,2020,PF,4,5,6,10,6,0,,22,9,7,4,5,25,47
North Korea,Asia,c,2020,NF,7,7,0,0,0,0,,0,0,0,0,3,3,3
North Macedonia,Europe,c,2020,PF,3,3,7,11,6,0,,24,12,8,9,10,39,63
Northern Cyprus,Europe,t,2020,F,2,2,11,13,7,0,,31,15,11,13,11,50,81
Norway,Europe,c,2020,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
Oman,MENA,c,2020,NF,6,5,2,2,2,0,,6,5,3,4,5,17,23
Pakistan,Asia,c,2020,PF,5,5,5,6,5,0,,16,6,6,4,6,22,38
Pakistani Kashmir,Asia,t,2020,NF,6,5,4,4,3,2,,9,6,4,3,6,19,28
Palau,Asia,c,2020,F,1,1,12,15,10,0,,37,16,11,15,13,55,92
Panama,Americas,c,2020,F,1,2,12,15,9,0,,36,15,11,10,12,48,84
Papua New Guinea,Asia,c,2020,PF,4,3,7,13,3,0,,23,14,10,7,8,39,62
Paraguay,Americas,c,2020,PF,3,3,10,12,6,0,,28,12,8,7,10,37,65
Peru,Americas,c,2020,F,2,3,11,13,6,0,,30,15,8,8,11,42,72
Philippines,Asia,c,2020,PF,3,4,9,10,6,0,,25,14,7,3,10,34,59
Poland,Europe,c,2020,F,2,2,11,16,8,0,,35,14,10,11,14,49,84
Portugal,Europe,c,2020,F,1,1,12,16,11,0,,39,16,12,14,15,57,96
Qatar,MENA,c,2020,NF,6,5,2,2,3,0,,7,7,2,5,4,18,25
Romania,Europe,c,2020,F,2,2,12,14,9,0,,35,13,11,12,12,48,83
Russia,Eurasia,c,2020,NF,7,6,0,3,2,0,,5,3,3,2,7,15,20
Rwanda,SSA,c,2020,NF,6,6,2,2,4,0,,8,3,2,2,7,14,22
Samoa,Asia,c,2020,F,2,2,9,12,9,0,,30,14,11,14,12,51,81
San Marino,Europe,c,2020,F,1,1,12,15,11,0,,38,15,12,15,15,57,95
Sao Tome and Principe,SSA,c,2020,F,2,2,11,15,9,0,,35,15,11,12,11,49,84
Saudi Arabia,MENA,c,2020,NF,7,7,0,0,1,0,,1,2,0,2,2,6,7
Senegal,SSA,c,2020,PF,3,3,9,12,8,0,,29,13,9,9,11,42,71
Serbia,Europe,c,2020,PF,4,3,8,10,5,0,,23,12,10,9,12,43,66
Seychelles,SSA,c,2020,PF,3,3,10,11,8,0,,29,12,9,11,11,43,72
Sierra Leone,SSA,c,2020,PF,3,3,10,11,7,0,,28,12,6,9,10,37,65
Singapore,Asia,c,2020,PF,4,4,4,8,7,0,,19,8,4,7,12,31,50
Slovakia,Europe,c,2020,F,1,2,12,15,9,0,,36,14,12,12,14,52,88
Slovenia,Europe,c,2020,F,1,1,12,16,11,0,,39,14,12,15,14,55,94
Solomon Islands,Asia,c,2020,F,2,2,9,14,7,0,,30,16,10,11,12,49,79
Somalia,SSA,c,2020,NF,7,7,0,1,0,0,,1,3,3,0,0,6,7
Somaliland,SSA,t,2020,PF,5,5,5,8,4,0,,17,6,5,7,6,24,41
South Africa,SSA,c,2020,F,2,2,12,13,8,0,,33,15,12,9,10,46,79
South Korea,Asia,c,2020,F,2,2,11,13,9,0,,33,14,11,12,13,50,83
South Ossetia,Eurasia,t,2020,NF,7,6,2,2,0,2,,2,3,1,1,3,8,10
South Sudan,SSA,c,2020,NF,7,7,1,1,0,4,,-2,2,2,0,0,4,2
Spain,Europe,c,2020,F,1,1,12,16,10,0,,38,14,11,14,15,54,92
Sri Lanka,Asia,c,2020,PF,4,4,9,10,5,1,,23,8,9,8,8,33,56
St. Kitts and Nevis,Americas,c,2020,F,1,1,10,16,10,0,,36,15,12,13,13,53,89
St. Lucia,Americas,c,2020,F,1,1,11,16,11,0,,38,15,12,13,14,54,92
St. Vincent and the Grenadines,Americas,c,2020,F,1,1,11,15,10,0,,36,15,12,14,14,55,91
Sudan,SSA,c,2020,NF,7,6,0,4,0,2,,2,5,3,1,1,10,12
Suriname,Americas,c,2020,F,2,3,11,14,7,0,,32,14,11,8,10,43,75
Sweden,Europe,c,2020,F,1,1,12,16,12,0,,40,16,12,16,16,60,100
Switzerland,Europe,c,2020,F,1,1,12,15,12,0,,39,15,12,15,15,57,96
Syria,MENA,c,2020,NF,7,7,0,0,0,3,,-3,3,0,0,0,3,0
Taiwan,Asia,c,2020,F,1,1,12,15,10,0,,37,16,11,15,14,56,93
Tajikistan,Eurasia,c,2020,NF,7,6,0,0,0,0,,0,2,2,1,4,9,9
Tanzania,SSA,c,2020,PF,5,5,6,6,5,0,,17,7,4,5,7,23,40
Thailand,Asia,c,2020,PF,6,4,1,3,2,0,,6,6,5,5,10,26,32
The Gambia,SSA,c,2020,PF,4,4,7,9,4,0,,20,8,6,6,6,26,46
Tibet,Asia,t,2020,NF,7,7,0,0,1,3,,-2,0,0,0,3,3,1
Timor-Leste,Asia,c,2020,F,2,3,11,14,7,0,,32,14,8,8,9,39,71
Togo,SSA,c,2020,PF,5,4,5,6,5,0,,16,9,6,6,7,28,44
Tonga,Asia,c,2020,F,2,2,9,14,7,0,,30,14,10,12,13,49,79
Transnistria,Eurasia,t,2020,NF,6,6,3,4,2,0,,9,5,1,2,5,13,22
Trinidad and Tobago,Americas,c,2020,F,2,2,11,13,9,0,,33,16,11,9,13,49,82
Tunisia,MENA,c,2020,F,2,3,12,14,6,0,,32,12,7,9,10,38,70
Turkey,Europe,c,2020,NF,5,6,5,8,3,0,,16,5,3,3,5,16,32
Turkmenistan,Eurasia,c,2020,NF,7,7,0,0,0,0,,0,0,0,0,2,2,2
Tuvalu,Asia,c,2020,F,1,1,12,15,10,0,,37,16,12,15,13,56,93
Uganda,SSA,c,2020,NF,6,5,3,5,3,0,,11,8,4,4,7,23,34
Ukraine,Eurasia,c,2020,PF,3,3,9,12,6,0,,27,11,7,7,10,35,62
United Arab Emirates,MENA,c,2020,NF,7,6,1,2,2,0,,5,3,2,3,4,12,17
United Kingdom,Europe,c,2020,F,1,1,12,16,11,0,,39,14,12,14,15,55,94
United States,Americas,c,2020,F,2,1,10,14,9,0,,33,16,11,11,15,53,86
Uruguay,Americas,c,2020,F,1,1,12,16,12,0,,40,16,12,15,15,58,98
Uzbekistan,Eurasia,c,2020,NF,7,6,1,0,1,0,,2,2,1,1,4,8,10
Vanuatu,Asia,c,2020,F,2,2,10,15,8,0,,33,14,11,13,11,49,82
Venezuela,Americas,c,2020,NF,7,6,0,2,0,0,,2,6,2,1,5,14,16
Vietnam,Asia,c,2020,NF,7,5,0,1,2,0,,3,4,1,4,8,17,20
West Bank,MENA,t,2020,NF,7,5,1,4,2,3,,4,7,5,4,5,21,25
Western Sahara,MENA,t,2020,NF,7,7,0,0,0,3,,-3,3,0,0,4,7,4
Yemen,MENA,c,2020,NF,7,6,0,1,0,0,,1,3,3,2,2,10,11
Zambia,SSA,c,2020,PF,4,4,6,10,6,0,,22,9,7,8,8,32,54
Zimbabwe,SSA,c,2020,PF,5,5,3,6,3,0,,12,7,3,2,5,17,29
