Country/Territory,Region,C/T?,Edition,Status2020,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2020
Abkhazia,Eurasia,t,2020,PF,5,5,5,8,4,0,,17,8,6,4,5,23,40
Afghanistan,Asia,c,2020,NF,5,6,3,7,3,0,,13,6,4,2,2,14,27
Albania,Europe,c,2020,PF,3,3,8,12,7,0,,27,13,9,9,9,40,67
Algeria,MENA,c,2020,NF,6,5,3,4,3,0,,10,7,4,6,7,24,34
Andorra,Europe,c,2020,F,1,1,12,15,12,0,,39,14,11,15,15,55,94
Angola,SSA,c,2020,NF,6,5,3,6,2,0,,11,7,6,5,3,21,32
Antigua and Barbuda,Americas,c,2020,F,2,2,12,13,8,0,,33,15,10,14,13,52,85
Argentina,Americas,c,2020,F,2,2,11,16,8,0,,35,15,11,10,14,50,85
Armenia,Eurasia,c,2020,PF,4,4,6,10,5,0,,21,9,8,6,9,32,53
Australia,Asia,c,2020,F,1,1,12,16,12,0,,40,15,12,15,15,57,97
Austria,Europe,c,2020,F,1,1,12,15,10,0,,37,14,12,15,15,56,93
Azerbaijan,Eurasia,c,2020,NF,7,6,0,2,0,0,,2,2,1,0,5,8,10
Bahamas,Americas,c,2020,F,1,1,12,16,10,0,,38,15,12,13,13,53,91
Bahrain,MENA,c,2020,NF,7,6,2,0,2,3,,1,2,1,1,6,10,11
Bangladesh,Asia,c,2020,PF,5,5,4,7,4,0,,15,6,5,4,9,24,39
Barbados,Americas,c,2020,F,1,1,12,16,10,0,,38,16,12,14,15,57,95
Belarus,Eurasia,c,2020,NF,7,6,0,3,2,0,,5,2,3,2,7,14,19
Belgium,Europe,c,2020,F,1,1,12,16,11,0,,39,15,12,15,15,57,96
Belize,Americas,c,2020,F,2,2,12,14,9,0,,35,15,11,12,13,51,86
Benin,SSA,c,2020,PF,4,2,5,9,7,0,,21,15,9,11,10,45,66
Bhutan,Asia,c,2020,PF,3,4,10,11,9,1,,29,9,5,8,8,30,59
Bolivia,Americas,c,2020,PF,3,3,8,10,7,0,,25,14,8,6,10,38,63
Bosnia and Herzegovina,Europe,c,2020,PF,4,4,6,9,4,0,,19,10,7,7,10,34,53
Botswana,SSA,c,2020,F,3,2,10,10,8,0,,28,12,10,11,11,44,72
Brazil,Americas,c,2020,F,2,2,10,14,7,0,,31,14,9,8,13,44,75
Brunei,Asia,c,2020,NF,6,5,0,3,4,0,,7,6,3,5,7,21,28
Bulgaria,Europe,c,2020,F,2,2,11,14,9,0,,34,13,11,10,12,46,80
Burkina Faso,SSA,c,2020,PF,4,4,7,10,6,0,,23,11,8,6,8,33,56
Burundi,SSA,c,2020,NF,7,6,0,3,0,0,,3,4,1,1,4,10,13
Cabo Verde,SSA,c,2020,F,1,1,12,16,10,0,,38,16,11,14,13,54,92
Cambodia,Asia,c,2020,NF,7,5,1,2,2,0,,5,8,3,3,6,20,25
Cameroon,SSA,c,2020,NF,6,6,1,3,3,0,,7,4,2,1,4,11,18
Canada,Americas,c,2020,F,1,1,12,16,12,0,,40,15,12,15,16,58,98
Central African Republic,SSA,c,2020,NF,7,7,3,2,0,1,,4,4,1,1,0,6,10
Chad,SSA,c,2020,NF,7,6,1,1,1,0,,3,6,4,1,3,14,17
Chile,Americas,c,2020,F,1,2,12,15,11,0,,38,15,10,13,14,52,90
China,Asia,c,2020,NF,7,6,0,0,2,3,,-1,1,2,2,6,11,10
Colombia,Americas,c,2020,PF,3,3,10,11,8,0,,29,12,6,9,10,37,66
Comoros,SSA,c,2020,PF,4,4,6,8,4,0,,18,8,6,6,6,26,44
Congo (Brazzaville),SSA,c,2020,NF,7,5,0,2,0,0,,2,7,4,1,6,18,20
Congo (Kinshasa),SSA,c,2020,NF,7,6,1,2,1,0,,4,7,3,0,4,14,18
Costa Rica,Americas,c,2020,F,1,1,12,15,11,0,,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,c,2020,PF,4,4,7,8,4,0,,19,11,8,6,7,32,51
Crimea,Eurasia,t,2020,NF,7,6,0,0,0,2,,-2,3,1,0,6,10,8
Croatia,Europe,c,2020,F,1,2,12,14,10,0,,36,13,12,11,13,49,85
Cuba,Americas,c,2020,NF,7,6,0,0,1,0,,1,5,0,2,6,13,14
Cyprus,Europe,c,2020,F,1,1,12,15,11,0,,38,15,12,15,14,56,94
Czech Republic,Europe,c,2020,F,1,1,12,15,9,0,,36,14,12,14,15,55,91
Denmark,Europe,c,2020,F,1,1,12,16,12,0,,40,16,12,14,15,57,97
Djibouti,SSA,c,2020,NF,7,5,2,3,0,0,,5,6,3,4,6,19,24
Dominica,Americas,c,2020,F,1,1,11,16,10,0,,37,15,11,15,15,56,93
