Country/Territory,Region,C/T?,Edition,Status2014,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2014
Abkhazia,Eurasia,t,2014,PF,4,5,7,7,4,0,0.0,18,8,5,4,5,22,40
Afghanistan,Asia,c,2014,NF,6,6,3,6,2,0,0.0,11,6,4,2,3,15,26
Albania,Europe,c,2014,PF,3,3,8,13,6,0,0.0,27,13,9,9,9,40,67
Algeria,MENA,c,2014,NF,6,5,4,4,3,0,0.0,11,6,5,5,7,23,34
Andorra,Europe,c,2014,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2014,NF,6,5,4,6,1,0,0.0,11,7,4,4,3,18,29
Antigua and Barbuda,Americas,c,2014,F,2,2,11,13,7,0,0.0,31,14,9,13,13,49,80
Argentina,Americas,c,2014,F,2,2,11,14,6,0,0.0,31,14,11,11,13,49,80
Armenia,Eurasia,c,2014,PF,5,4,5,6,3,0,0.0,14,8,6,6,9,29,43
Australia,Asia,c,2014,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Austria,Europe,c,2014,F,1,1,12,15,11,0,0.0,38,16,12,15,15,58,96
Azerbaijan,Eurasia,c,2014,NF,6,6,1,3,2,0,0.0,6,4,2,4,6,16,22
Bahamas,Americas,c,2014,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2014,NF,6,6,3,2,3,2,0.0,6,2,1,1,6,10,16
Bangladesh,Asia,c,2014,PF,3,4,9,10,5,0,0.0,24,8,6,6,9,29,53
Barbados,Americas,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2014,NF,7,6,0,3,1,0,0.0,4,3,1,1,5,10,14
Belgium,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,15,12,15,15,57,97
Belize,Americas,c,2014,F,1,2,12,14,10,0,0.0,36,15,11,12,13,51,87
Benin,SSA,c,2014,F,2,2,8,16,8,0,0.0,32,15,11,12,10,48,80
Bhutan,Asia,c,2014,PF,3,4,10,10,9,1,0.0,28,9,4,6,8,27,55
Bolivia,Americas,c,2014,PF,3,3,11,11,7,0,0.0,29,14,9,6,9,38,67
Bosnia and Herzegovina,Europe,c,2014,PF,3,3,8,10,6,0,0.0,24,10,7,10,10,37,61
Botswana,SSA,c,2014,F,3,2,10,10,8,0,0.0,28,13,10,12,11,46,74
Brazil,Americas,c,2014,F,2,2,11,14,8,0,0.0,33,15,10,10,13,48,81
Brunei,Asia,c,2014,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2014,F,2,2,10,14,7,0,0.0,31,14,11,11,11,47,78
Burkina Faso,SSA,c,2014,PF,5,3,5,8,4,0,0.0,17,13,8,7,8,36,53
Burundi,SSA,c,2014,PF,5,5,4,6,2,0,0.0,12,8,4,4,6,22,34
Cambodia,Asia,c,2014,NF,6,5,3,4,3,0,0.0,10,9,3,2,6,20,30
Cameroon,SSA,c,2014,NF,6,6,3,3,2,0,0.0,8,7,3,2,4,16,24
Canada,Americas,c,2014,F,1,1,12,16,11,0,0.0,39,16,12,15,16,59,98
Cape Verde,SSA,c,2014,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2014,NF,7,7,0,1,0,1,0.0,0,4,1,0,1,6,6
Chad,SSA,c,2014,NF,7,6,3,1,1,0,0.0,5,7,4,2,3,16,21
Chile,Americas,c,2014,F,1,1,12,15,12,0,0.0,39,16,11,14,15,56,95
China,Asia,c,2014,NF,7,6,0,1,2,1,0.0,2,4,3,2,6,15,17
Colombia,Americas,c,2014,PF,3,4,10,11,7,0,0.0,28,12,5,7,10,34,62
Comoros,SSA,c,2014,PF,3,4,9,11,5,0,0.0,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,c,2014,NF,6,5,1,3,3,0,0.0,7,8,6,2,7,23,30
Congo (Kinshasa),SSA,c,2014,NF,6,6,3,4,2,0,0.0,9,7,3,0,1,11,20
Costa Rica,Americas,c,2014,F,1,1,12,15,10,0,0.0,37,16,11,13,13,53,90
Cote d'Ivoire,SSA,c,2014,PF,5,4,6,7,4,0,0.0,17,10,7,5,6,28,45
Croatia,Europe,c,2014,F,1,2,12,15,9,0,0.0,36,14,12,11,13,50,86
Cuba,Americas,c,2014,NF,7,6,0,0,1,0,0.0,1,3,0,2,6,11,12
Cyprus,Europe,c,2014,F,1,1,11,16,10,0,0.0,37,15,11,15,14,55,92
Czech Republic,Europe,c,2014,F,1,1,12,15,10,0,0.0,37,16,12,14,15,57,94
Denmark,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Djibouti,SSA,c,2014,NF,6,5,3,3,3,0,0.0,9,7,3,4,6,20,29
Dominica,Americas,c,2014,F,1,1,12,16,10,0,0.0,38,15,12,15,15,57,95
Dominican Republic,Americas,c,2014,F,2,3,10,11,9,0,0.0,30,15,10,8,10,43,73
Ecuador,Americas,c,2014,PF,3,3,7,11,6,0,0.0,24,13,7,6,10,36,60
Egypt,MENA,c,2014,NF,6,5,1,6,2,0,0.0,9,6,4,4,8,22,31
El Salvador,Americas,c,2014,F,2,3,12,14,9,0,0.0,35,15,8,9,10,42,77
Equatorial Guinea,SSA,c,2014,NF,7,7,0,1,0,0,0.0,1,4,0,0,3,7,8
Eritrea,SSA,c,2014,NF,7,7,0,0,1,0,0.0,1,0,0,0,2,2,3
Estonia,Europe,c,2014,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2014,NF,6,6,1,2,4,0,0.0,7,3,0,3,5,11,18
Fiji,Asia,c,2014,PF,6,4,0,5,2,0,0.0,7,11,3,6,10,30,37
Finland,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2014,F,1,1,12,15,11,0,0.0,38,15,12,15,15,57,95
Gabon,SSA,c,2014,NF,6,5,2,4,3,0,0.0,9,10,4,6,5,25,34
Gaza Strip,MENA,t,2014,NF,7,6,2,2,1,0,0.0,5,4,3,0,3,10,15
Georgia,Eurasia,c,2014,PF,3,3,8,10,7,0,0.0,25,12,8,8,10,38,63
Germany,Europe,c,2014,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Ghana,SSA,c,2014,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2014,F,2,2,12,15,8,0,0.0,35,14,11,10,13,48,83
Grenada,Americas,c,2014,F,1,2,12,16,10,0,0.0,38,15,11,12,13,51,89
Guatemala,Americas,c,2014,PF,3,4,9,10,5,0,0.0,24,12,6,6,8,32,56
Guinea,SSA,c,2014,PF,5,5,6,8,3,0,0.0,17,9,6,4,5,24,41
Guinea-Bissau,SSA,c,2014,NF,6,5,3,5,1,0,0.0,9,10,5,3,5,23,32
Guyana,Americas,c,2014,F,2,3,11,13,7,0,0.0,31,15,10,7,9,41,72
Haiti,Americas,c,2014,PF,4,5,4,9,5,0,0.0,18,10,5,4,6,25,43
Honduras,Americas,c,2014,PF,4,4,7,9,4,0,0.0,20,11,6,5,9,31,51
Hong Kong,Asia,t,2014,PF,5,2,3,7,6,0,0.0,16,14,9,15,13,51,67
Hungary,Europe,c,2014,F,1,2,12,15,9,0,0.0,36,15,12,11,14,52,88
Iceland,Europe,c,2014,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
India,Asia,c,2014,F,2,3,11,14,9,0,0.0,34,13,11,9,10,43,77
Indian Kashmir,Asia,t,2014,PF,4,4,8,8,4,0,0.0,20,9,6,6,8,29,49
Indonesia,Asia,c,2014,PF,2,4,11,13,6,0,0.0,30,12,8,5,9,34,64
Iran,MENA,c,2014,NF,6,6,3,2,2,0,0.0,7,2,1,3,4,10,17
