Country/Territory,Region,C/T?,Edition,Status2017,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2017
Abkhazia,Eurasia,t,2017,PF,4,5,6,8,4,0,0.0,18,8,6,4,5,23,41
Afghanistan,Asia,c,2017,NF,6,6,2,6,2,0,0.0,10,6,4,2,2,14,24
Albania,Europe,c,2017,PF,3,3,8,13,7,0,0.0,28,13,9,9,9,40,68
Algeria,MENA,c,2017,NF,6,5,4,4,3,0,0.0,11,7,5,5,7,24,35
Andorra,Europe,c,2017,F,1,1,12,15,12,0,0.0,39,15,11,15,15,56,95
Angola,SSA,c,2017,NF,6,6,3,6,1,0,0.0,10,5,3,3,3,14,24
Antigua and Barbuda,Americas,c,2017,F,2,2,12,13,8,0,0.0,33,15,9,13,13,50,83
Argentina,Americas,c,2017,F,2,2,11,14,8,0,0.0,33,14,11,10,14,49,82
Armenia,Eurasia,c,2017,PF,5,4,5,7,4,0,0.0,16,9,6,5,9,29,45
Australia,Asia,c,2017,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Austria,Europe,c,2017,F,1,1,12,15,10,0,0.0,37,16,12,15,15,58,95
Azerbaijan,Eurasia,c,2017,NF,7,6,1,2,1,0,0.0,4,2,1,2,5,10,14
Bahamas,Americas,c,2017,F,1,1,12,16,10,0,0.0,38,15,12,13,13,53,91
Bahrain,MENA,c,2017,NF,7,6,2,0,3,3,0.0,2,2,1,1,6,10,12
Bangladesh,Asia,c,2017,PF,4,4,7,8,5,0,0.0,20,7,6,5,9,27,47
Barbados,Americas,c,2017,F,1,1,12,16,12,0,0.0,40,16,12,15,15,58,98
Belarus,Eurasia,c,2017,NF,7,6,0,4,1,0,0.0,5,3,3,2,7,15,20
Belgium,Europe,c,2017,F,1,1,12,16,12,0,0.0,40,15,12,13,15,55,95
Belize,Americas,c,2017,F,1,2,12,14,10,0,0.0,36,15,11,12,13,51,87
