Country/Territory,Region,C/T?,Edition,Status2013,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2013
Ghana,SSA,c,2013,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2013,F,2,2,12,15,8,0,0.0,35,14,11,10,13,48,83
Grenada,Americas,c,2013,F,1,2,12,16,10,0,0.0,38,15,11,12,13,51,89
Guatemala,Americas,c,2013,PF,3,4,9,10,5,0,0.0,24,12,7,6,8,33,57
Guinea,SSA,c,2013,PF,5,5,5,8,2,0,0.0,15,9,6,4,5,24,39
Guinea-Bissau,SSA,c,2013,NF,6,5,2,5,0,0,0.0,7,10,5,3,5,23,30
Guyana,Americas,c,2013,F,2,3,11,13,7,0,0.0,31,15,9,7,9,40,71
Haiti,Americas,c,2013,PF,4,5,5,9,5,0,0.0,19,10,5,4,5,24,43
Honduras,Americas,c,2013,PF,4,4,6,8,4,0,0.0,18,11,6,7,9,33,51
Hong Kong,Asia,t,2013,PF,5,2,3,7,6,0,0.0,16,14,9,15,13,51,67
Hungary,Europe,c,2013,F,1,2,12,15,9,0,0.0,36,15,12,11,14,52,88
Iceland,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
India,Asia,c,2013,F,2,3,11,14,9,0,0.0,34,13,11,8,10,42,76
Indian Kashmir,Asia,t,2013,PF,4,4,8,8,4,0,0.0,20,9,6,6,8,29,49
Indonesia,Asia,c,2013,F,2,3,11,13,6,0,0.0,30,12,9,5,9,35,65
Iran,MENA,c,2013,NF,6,6,2,2,2,0,0.0,6,2,1,3,4,10,16
Iraq,MENA,c,2013,NF,6,6,7,4,1,1,0.0,11,5,4,0,4,13,24
Ireland,Europe,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2013,F,1,2,12,14,10,0,0.0,36,12,11,11,11,45,81
Italy,Europe,c,2013,F,2,1,11,15,9,0,0.0,35,15,12,12,14,53,88
Jamaica,Americas,c,2013,F,2,3,12,13,8,0,0.0,33,15,9,6,10,40,73
Japan,Asia,c,2013,F,1,2,12,15,10,0,0.0,37,13,10,15,13,51,88
Jordan,MENA,c,2013,NF,6,5,2,5,3,0,0.0,10,7,3,6,8,24,34
Kazakhstan,Eurasia,c,2013,NF,6,5,2,3,1,0,0.0,6,5,3,4,8,20,26
Kenya,SSA,c,2013,PF,4,4,6,10,5,0,0.0,21,13,8,6,7,34,55
Kiribati,Asia,c,2013,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,c,2013,PF,5,4,6,8,3,1,0.0,16,8,6,5,7,26,42
Kuwait,MENA,c,2013,PF,5,5,2,10,5,0,0.0,17,7,4,7,6,24,41
Kyrgyzstan,Eurasia,c,2013,PF,5,5,6,6,4,2,0.0,14,9,5,4,7,25,39
Laos,Asia,c,2013,NF,7,6,0,0,0,0,0.0,0,4,0,2,5,11,11
Latvia,Europe,c,2013,F,2,2,12,14,7,0,0.0,33,15,12,12,12,51,84
Lebanon,MENA,c,2013,PF,5,4,5,9,3,0,0.0,17,11,7,5,9,32,49
Lesotho,SSA,c,2013,F,2,3,10,13,8,0,0.0,31,14,7,11,9,41,72
Liberia,SSA,c,2013,PF,3,4,9,11,6,0,0.0,26,11,8,7,8,34,60
Libya,MENA,c,2013,PF,4,5,9,10,3,0,0.0,22,8,6,1,6,21,43
Liechtenstein,Europe,c,2013,F,1,1,12,15,12,0,0.0,39,16,12,15,16,59,98
Lithuania,Europe,c,2013,F,1,1,12,16,9,0,0.0,37,16,11,13,13,53,90
Luxembourg,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Macedonia,Europe,c,2013,PF,3,3,8,11,7,0,0.0,26,11,8,8,11,38,64
Madagascar,SSA,c,2013,PF,6,4,1,5,1,0,0.0,7,9,7,5,7,28,35
Malawi,SSA,c,2013,PF,3,4,8,11,7,0,0.0,26,11,7,9,7,34,60
Malaysia,Asia,c,2013,PF,4,4,6,8,6,0,0.0,20,9,5,5,9,28,48
Maldives,Asia,c,2013,PF,5,4,7,6,4,0,0.0,17,7,7,7,8,29,46
Mali,SSA,c,2013,NF,7,5,1,3,2,1,0.0,5,8,4,3,4,19,24
Malta,Europe,c,2013,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Marshall Islands,Asia,c,2013,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Mauritania,SSA,c,2013,NF,6,5,3,3,5,0,0.0,11,10,4,4,5,23,34
Mauritius,SSA,c,2013,F,1,2,12,15,11,0,0.0,38,15,12,13,12,52,90
Mexico,Americas,c,2013,PF,3,3,9,12,7,0,0.0,28,13,8,6,10,37,65
Micronesia,Asia,c,2013,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2013,PF,3,3,11,12,6,0,0.0,29,11,8,8,9,36,65
Monaco,Europe,c,2013,F,2,1,10,11,10,0,0.0,31,15,12,15,14,56,87
Mongolia,Asia,c,2013,F,1,2,11,16,9,0,0.0,36,15,11,12,12,50,86
Montenegro,Europe,c,2013,F,3,2,9,11,7,0,0.0,27,13,10,10,12,45,72
Morocco,MENA,c,2013,PF,5,4,5,7,4,0,0.0,16,8,6,6,7,27,43
Mozambique,SSA,c,2013,PF,4,3,6,10,7,0,0.0,23,12,7,8,9,36,59
Myanmar,Asia,c,2013,NF,6,5,3,6,3,3,0.0,9,7,4,1,5,17,26
Nagorno-Karabakh,Eurasia,t,2013,PF,5,5,4,5,3,0,0.0,12,6,3,5,5,19,31
Namibia,SSA,c,2013,F,2,2,10,11,9,0,0.0,30,14,12,11,9,46,76
Nauru,Asia,c,2013,F,1,1,12,16,10,0,0.0,38,15,11,15,14,55,93
Nepal,Asia,c,2013,PF,4,4,5,11,4,0,0.0,20,9,6,5,7,27,47
Netherlands,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,15,16,59,99
New Zealand,Asia,c,2013,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Nicaragua,Americas,c,2013,PF,5,4,6,7,4,0,0.0,17,12,6,7,9,34,51
Niger,SSA,c,2013,PF,3,4,9,10,7,0,0.0,26,11,8,5,6,30,56
Nigeria,SSA,c,2013,PF,4,4,6,9,5,0,0.0,20,9,7,4,6,26,46
North Korea,Asia,c,2013,NF,7,7,0,0,0,0,0.0,0,0,0,0,3,3,3
Northern Cyprus,Europe,t,2013,F,2,2,11,12,9,0,0.0,32,13,9,12,12,46,78
Norway,Europe,c,2013,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Oman,MENA,c,2013,NF,6,5,2,2,2,0,3.0,9,5,3,4,5,17,26
Pakistan,Asia,c,2013,PF,4,5,6,9,5,0,0.0,20,5,7,4,6,22,42
Pakistani Kashmir,Asia,t,2013,NF,6,5,3,4,3,2,0.0,8,6,5,4,6,21,29
Palau,Asia,c,2013,F,1,1,12,15,10,0,0.0,37,16,11,15,13,55,92
Panama,Americas,c,2013,F,1,2,12,15,9,0,0.0,36,15,10,9,12,46,82
Papua New Guinea,Asia,c,2013,PF,4,3,9,10,4,0,0.0,23,12,9,7,8,36,59
Paraguay,Americas,c,2013,PF,3,3,10,12,5,0,0.0,27,11,8,6,10,35,62
Peru,Americas,c,2013,F,2,3,10,13,7,0,0.0,30,15,8,8,10,41,71
