Country/Territory,Region,C/T?,Edition,Status2009,PR_Rating,CL_Rating,A,B,C,Add_Q,Add_A,PR,D,E,F,G,CL,Score2009
Abkhazia,Eurasia,t,2009,PF,5,5,5,5,4,0,0.0,14,8,4,4,5,21,35
Afghanistan,Asia,c,2009,NF,5,6,6,7,3,0,0.0,16,5,4,2,5,16,32
Albania,Europe,c,2009,PF,3,3,8,11,7,0,0.0,26,13,8,10,9,40,66
Algeria,MENA,c,2009,NF,6,5,4,4,3,0,0.0,11,7,6,5,7,25,36
Andorra,Europe,c,2009,F,1,1,12,15,12,0,0.0,39,16,11,15,15,57,96
Angola,SSA,c,2009,NF,6,5,4,6,1,0,0.0,11,8,6,4,3,21,32
Antigua and Barbuda,Americas,c,2009,F,2,2,11,12,7,0,0.0,30,13,9,12,13,47,77
Argentina,Americas,c,2009,F,2,2,11,15,6,0,0.0,32,14,11,10,13,48,80
Armenia,Eurasia,c,2009,PF,6,4,4,4,3,0,0.0,11,8,5,5,9,27,38
Australia,Asia,c,2009,F,1,1,12,15,12,0,0.0,39,16,12,14,15,57,96
Austria,Europe,c,2009,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
Azerbaijan,Eurasia,c,2009,NF,6,5,2,3,3,0,0.0,8,6,3,4,8,21,29
Bahamas,Americas,c,2009,F,1,1,12,16,10,0,0.0,38,16,12,15,15,58,96
Bahrain,MENA,c,2009,PF,5,5,3,8,4,2,0.0,13,8,3,3,7,21,34
Bangladesh,Asia,c,2009,PF,4,4,9,9,4,0,0.0,22,8,8,5,9,30,52
Barbados,Americas,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,16,15,59,99
Belarus,Eurasia,c,2009,NF,7,6,0,3,1,0,0.0,4,3,1,2,5,11,15
Belgium,Europe,c,2009,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Belize,Americas,c,2009,F,1,2,12,14,10,0,0.0,36,15,11,12,13,51,87
Benin,SSA,c,2009,F,2,2,9,15,8,0,0.0,32,15,12,11,10,48,80
Bhutan,Asia,c,2009,PF,4,5,7,7,6,1,0.0,19,8,3,5,8,24,43
Bolivia,Americas,c,2009,PF,3,3,11,12,5,0,0.0,28,14,10,7,9,40,68
Bosnia and Herzegovina,Europe,c,2009,PF,4,3,8,10,5,0,0.0,23,11,7,10,10,38,61
Botswana,SSA,c,2009,F,2,2,10,11,9,0,0.0,30,14,10,13,11,48,78
Brazil,Americas,c,2009,F,2,2,11,14,7,0,0.0,32,15,10,8,12,45,77
Brunei,Asia,c,2009,NF,6,5,0,3,3,0,1.0,7,6,3,6,8,23,30
Bulgaria,Europe,c,2009,F,2,2,12,15,8,0,0.0,35,14,11,11,11,47,82
Burkina Faso,SSA,c,2009,PF,5,3,5,8,4,0,0.0,17,13,8,6,8,35,52
Burundi,SSA,c,2009,PF,4,5,8,8,4,0,0.0,20,8,5,4,6,23,43
Cambodia,Asia,c,2009,NF,6,5,3,5,3,0,0.0,11,10,5,2,6,23,34
Cameroon,SSA,c,2009,NF,6,6,2,3,3,0,0.0,8,7,2,2,4,15,23
Canada,Americas,c,2009,F,1,1,12,16,11,0,0.0,39,15,12,15,16,58,97
Cape Verde,SSA,c,2009,F,1,1,12,15,10,0,0.0,37,15,11,14,13,53,90
Central African Republic,SSA,c,2009,PF,5,5,7,7,3,0,0.0,17,10,6,3,4,23,40
Chad,SSA,c,2009,NF,7,6,3,1,1,0,0.0,5,7,4,1,3,15,20
Chechnya,Eurasia,t,2009,NF,7,7,0,0,0,0,0.0,0,4,0,0,3,7,7
Chile,Americas,c,2009,F,1,1,12,15,12,0,0.0,39,16,12,15,15,58,97
China,Asia,c,2009,NF,7,6,0,1,1,0,0.0,2,3,2,2,7,14,16
Colombia,Americas,c,2009,PF,3,4,10,9,7,0,0.0,26,12,5,7,10,34,60
Comoros,SSA,c,2009,PF,3,4,9,11,5,0,0.0,25,10,6,8,6,30,55
Congo (Brazzaville),SSA,c,2009,NF,6,5,2,4,3,0,0.0,9,9,7,2,6,24,33
Congo (Kinshasa),SSA,c,2009,NF,6,6,6,3,2,0,0.0,11,6,4,0,1,11,22
Costa Rica,Americas,c,2009,F,1,1,12,15,11,0,0.0,38,16,11,13,13,53,91
Cote d'Ivoire,SSA,c,2009,NF,6,5,1,3,2,0,0.0,6,5,4,5,5,19,25
Croatia,Europe,c,2009,F,2,2,12,14,9,0,0.0,35,14,12,10,13,49,84
Cuba,Americas,c,2009,NF,7,6,0,0,1,0,0.0,1,2,1,2,3,8,9
Cyprus,Europe,c,2009,F,1,1,11,16,11,0,0.0,38,15,12,15,15,57,95
Czech Republic,Europe,c,2009,F,1,1,12,15,11,0,0.0,38,16,12,14,15,57,95
Denmark,Europe,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,14,15,57,97
Djibouti,SSA,c,2009,PF,5,5,4,5,3,0,0.0,12,6,5,5,6,22,34
Dominica,Americas,c,2009,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Dominican Republic,Americas,c,2009,F,2,2,11,13,9,0,0.0,33,15,11,10,12,48,81
Ecuador,Americas,c,2009,PF,3,3,9,14,6,0,0.0,29,14,10,6,10,40,69
Egypt,MENA,c,2009,NF,6,5,1,4,2,0,0.0,7,5,2,4,7,18,25
El Salvador,Americas,c,2009,F,2,3,12,13,8,0,0.0,33,15,8,7,10,40,73
Equatorial Guinea,SSA,c,2009,NF,7,7,0,1,0,0,0.0,1,4,0,0,3,7,8
Eritrea,SSA,c,2009,NF,7,6,0,1,2,0,0.0,3,2,0,2,6,10,13
Estonia,Europe,c,2009,F,1,1,12,15,12,0,0.0,39,16,12,14,14,56,95
Ethiopia,SSA,c,2009,PF,5,5,5,4,4,0,0.0,13,7,3,4,6,20,33
Fiji,Asia,c,2009,PF,6,4,0,5,2,0,0.0,7,10,4,7,10,31,38
Finland,Europe,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
France,Europe,c,2009,F,1,1,12,15,11,0,0.0,38,16,12,15,15,58,96
Gabon,SSA,c,2009,PF,6,4,2,5,3,0,0.0,10,10,5,6,5,26,36
Georgia,Eurasia,c,2009,PF,4,4,6,6,6,0,0.0,18,11,7,5,10,33,51
Germany,Europe,c,2009,F,1,1,12,15,12,0,0.0,39,15,12,15,15,57,96
Ghana,SSA,c,2009,F,1,2,12,15,10,0,0.0,37,14,11,12,10,47,84
Greece,Europe,c,2009,F,1,2,12,15,10,0,0.0,37,14,12,12,13,51,88
Grenada,Americas,c,2009,F,1,2,12,16,10,0,0.0,38,15,10,12,15,52,90
Guatemala,Americas,c,2009,PF,3,4,9,10,5,0,0.0,24,12,8,5,8,33,57
Guinea,SSA,c,2009,NF,7,5,1,3,1,0,0.0,5,8,5,4,6,23,28
Guinea-Bissau,SSA,c,2009,PF,4,4,9,9,3,0,0.0,21,10,8,6,5,29,50
Guyana,Americas,c,2009,F,2,3,11,13,7,0,0.0,31,15,10,8,9,42,73
Haiti,Americas,c,2009,PF,4,5,7,10,5,0,0.0,22,10,6,4,5,25,47
Honduras,Americas,c,2009,PF,3,3,9,10,6,0,0.0,25,12,7,7,9,35,60
Hong Kong,Asia,t,2009,PF,5,2,3,7,6,0,0.0,16,14,10,15,13,52,68
Hungary,Europe,c,2009,F,1,1,12,15,10,0,0.0,37,16,12,13,14,55,92
Iceland,Europe,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
India,Asia,c,2009,F,2,3,11,14,9,0,0.0,34,13,10,9,10,42,76
Indian Kashmir,Asia,t,2009,PF,5,4,6,8,3,0,0.0,17,8,6,4,8,26,43
Indonesia,Asia,c,2009,F,2,3,11,13,6,0,0.0,30,11,9,7,9,36,66
Iran,MENA,c,2009,NF,6,6,3,3,3,0,0.0,9,4,2,3,4,13,22
Iraq,MENA,c,2009,NF,6,6,7,5,1,2,0.0,11,5,3,1,4,13,24
Ireland,Europe,c,2009,F,1,1,12,16,11,0,0.0,39,16,12,15,15,58,97
Israel,MENA,c,2009,F,1,2,12,15,10,0,0.0,37,13,12,11,11,47,84
Israeli Occupied Territories,MENA,t,2009,NF,6,6,3,2,3,2,0.0,6,6,5,1,3,15,21
Italy,Europe,c,2009,F,1,2,12,15,11,0,0.0,38,14,12,12,14,52,90
Jamaica,Americas,c,2009,F,2,3,12,14,8,0,0.0,34,15,9,7,10,41,75
Japan,Asia,c,2009,F,1,2,12,15,10,0,0.0,37,13,10,15,13,51,88
Jordan,MENA,c,2009,PF,5,5,2,6,5,0,0.0,13,7,4,6,8,25,38
Kazakhstan,Eurasia,c,2009,NF,6,5,2,3,2,0,0.0,7,7,4,4,8,23,30
Kenya,SSA,c,2009,PF,4,3,6,9,4,0,0.0,19,13,9,7,6,35,54
Kiribati,Asia,c,2009,F,1,1,12,16,8,0,0.0,36,15,12,15,13,55,91
Kosovo,Europe,t,2009,NF,6,5,6,5,3,3,0.0,11,7,6,4,7,24,35
Kuwait,MENA,c,2009,PF,4,4,4,9,6,0,0.0,19,9,6,7,5,27,46
Kyrgyzstan,Eurasia,c,2009,PF,5,4,4,5,4,0,0.0,13,9,5,5,7,26,39
Laos,Asia,c,2009,NF,7,6,0,1,0,0,0.0,1,4,1,2,5,12,13
Latvia,Europe,c,2009,F,2,1,12,15,7,0,0.0,34,16,12,12,13,53,87
Lebanon,MENA,c,2009,PF,5,4,5,8,4,0,0.0,17,12,8,5,9,34,51
Lesotho,SSA,c,2009,F,2,3,9,12,9,0,0.0,30,14,7,11,9,41,71
Liberia,SSA,c,2009,PF,3,4,9,10,6,0,0.0,25,11,8,7,8,34,59
Libya,MENA,c,2009,NF,7,7,0,1,0,0,0.0,1,1,0,0,6,7,8
Liechtenstein,Europe,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Lithuania,Europe,c,2009,F,1,1,12,16,9,0,0.0,37,16,11,14,13,54,91
Luxembourg,Europe,c,2009,F,1,1,12,16,12,0,0.0,40,16,12,16,16,60,100
Macedonia,Europe,c,2009,PF,3,3,7,10,7,0,0.0,24,11,7,8,10,36,60
Madagascar,SSA,c,2009,PF,4,3,7,8,7,0,0.0,22,10,8,9,9,36,58
Malawi,SSA,c,2009,PF,4,4,7,10,6,0,0.0,23,11,8,8,7,34,57
Malaysia,Asia,c,2009,PF,4,4,6,8,6,0,0.0,20,9,6,6,8,29,49
Maldives,Asia,c,2009,PF,4,4,6,9,5,0,0.0,20,8,6,7,7,28,48
Mali,SSA,c,2009,F,2,3,9,12,9,0,0.0,30,16,9,7,8,40,70
Malta,Europe,c,2009,F,1,1,12,16,11,0,0.0,39,16,12,16,15,59,98
Marshall Islands,Asia,c,2009,F,1,1,11,15,10,0,0.0,36,16,11,15,13,55,91
Mauritania,SSA,c,2009,NF,6,5,2,3,4,0,0.0,9,9,5,4,5,23,32
Mauritius,SSA,c,2009,F,1,2,12,15,11,0,0.0,38,15,12,13,12,52,90
Mexico,Americas,c,2009,F,2,3,10,13,8,0,0.0,31,14,8,6,11,39,70
Micronesia,Asia,c,2009,F,1,1,12,15,10,0,0.0,37,16,11,15,14,56,93
Moldova,Eurasia,c,2009,PF,4,4,9,8,5,0,0.0,22,10,6,8,9,33,55
Monaco,Europe,c,2009,F,2,1,10,11,10,0,0.0,31,15,12,15,14,56,87
Mongolia,Asia,c,2009,F,2,2,9,15,10,0,0.0,34,15,9,12,12,48,82
Montenegro,Europe,c,2009,PF,3,3,9,9,6,0,0.0,24,13,10,8,11,42,66
Morocco,MENA,c,2009,PF,5,4,4,7,5,0,0.0,16,8,6,6,8,28,44
Mozambique,SSA,c,2009,PF,3,3,7,11,7,0,0.0,25,12,7,8,9,36,61
Myanmar,Asia,c,2009,NF,7,7,0,0,0,3,0.0,-3,2,0,0,3,5,2
