CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2013_Score,Change_in_Yearly_Score_from_2012,Property_Rights,Change_in_Property_Rights_from_2012,Freedom_from_Corruption,Change_in_Freedom_from_Corruption_from_2012,Fiscal_Freedom_,Change_in_Fiscal_Freedom_from_2012,Gov't_Spending,Change_in_Gov't_Spending_from_2012,Business_Freedom,Change_in_Business_Freedom_from_2012,Labor_Freedom,Change_in_Labor_Freedom_from_2012,Monetary_Freedom,Change_in_Monetary_Freedom_from_2012,Trade_Freedom,Change_in_Trade_Freedom_from_2012,Investment_Freedom_,Change_in_Investment_Freedom_from_2012,Financial_Freedom,Change_in_Financial_Freedom_from_2012,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,,,,,,,15.0,,,,83.2,,59.7,,75.8,,69.5,,,,65.0,,,,,20.0,20.0,9.23526,23.657,Afghanistan,31.084,29.731,5.737,10.335397805937085,956.448,,11.247,83.411455,12.1
2,Albania,Albania,Europe,58.0,27.0,65.2,0.1,30.0,-5.0,31.0,-2.0,92.6,1.2,75.1,5.6,81.0,2.8,49.0,-2.0,78.4,-0.2,79.8,0.0,65.0,0.0,70.0,0.0,5.1,10.0,10.0,23.3,28.801,Albania,3.218,24.91,2.0,4.431418521927033,7741.428,13.5,3.427,1031.3628180801,58.923
3,Algeria,Algeria,Middle East / North Africa,145.0,14.0,49.6,-1.4,30.0,0.0,29.0,0.0,80.4,-2.5,44.1,-3.8,65.2,-1.1,52.6,-1.8,76.6,0.3,67.8,-5.0,20.0,0.0,30.0,0.0,8.6,35.0,25.0,10.4,43.149,Algeria,35.954,263.661,2.47,2.7185941826997295,7333.226,10.0,4.5,2571.0,9.925
4,Angola,Angola,Sub-Saharan Africa,158.0,40.0,47.3,0.6,15.0,-5.0,20.0,1.0,82.6,-1.5,60.6,7.4,43.1,-2.4,44.8,0.9,61.5,0.3,70.2,5.0,35.0,0.0,40.0,0.0,7.4,17.0,35.0,14.9,36.257,Angola,19.625,115.679,3.404,8.848807382779977,5894.617,,13.5,-5585.5292701786,30.897
5,Argentina,Argentina,South and Central America / Caribbean,160.0,27.0,46.7,-1.3,15.0,-5.0,30.0,1.0,64.3,-1.2,52.1,-4.8,60.1,-0.9,47.4,-1.5,60.4,-0.3,67.6,0.0,40.0,0.0,30.0,0.0,6.2,35.0,35.0,33.5,39.97,Argentina,40.9,716.419,8.87,6.81177922174645,17516.147,7.2,9.775,7243.1481814374,44.203
6,Armenia,Armenia,Europe,38.0,17.0,69.4,0.6,30.0,0.0,26.0,0.0,88.0,-1.3,82.1,7.2,87.6,-0.2,77.1,0.5,73.0,-0.1,85.4,0.0,75.0,0.0,70.0,0.0,2.3,20.0,20.0,19.97373,24.433,Armenia,3.332,17.941,4.4,2.1678319891159425,5384.089,5.9,7.656,524.628,35.103
7,Australia,Australia,Asia-Pacific,3.0,3.0,82.6,-0.5,90.0,0.0,88.0,1.0,66.4,3.0,62.8,-4.3,95.5,3.6,83.5,-7.1,83.8,-0.7,86.2,0.0,80.0,0.0,90.0,0.0,1.9,45.0,30.0,20.9,35.2,Australia,22.729,914.482,2.035,2.6198807381792255,40234.321,5.1,3.389,41316.6876920522,22.861
8,Austria,Austria,Europe,25.0,14.0,71.8,1.5,90.0,0.0,78.0,-1.0,51.1,0.6,23.5,8.1,73.6,3.3,80.4,2.3,79.3,-2.9,86.8,-0.4,85.0,5.0,70.0,0.0,1.6,50.0,25.0,41.975,50.5,Austria,8.417,352.015,3.107,1.3063424780020538,41822.0,4.5,3.6,14127.9340520327,72.201
9,Azerbaijan,Azerbaijan,Asia-Pacific,88.0,14.0,59.7,0.8,25.0,5.0,24.0,0.0,85.5,0.6,67.8,4.1,69.2,0.6,79.4,-2.2,73.5,-1.0,77.2,0.0,55.0,0.0,40.0,0.0,3.9,30.0,20.0,12.40268,32.782,Azerbaijan,9.122,93.055,0.094,9.723017461798733,10201.604,1.0,7.869,1465.0,10.234
10,"Bahamas, The",Bahamas,South and Central America / Caribbean,35.0,3.0,70.1,2.1,70.0,0.0,73.0,18.0,97.0,-0.7,84.9,-0.3,71.3,0.4,81.6,-1.1,75.8,-0.2,47.0,4.8,30.0,0.0,70.0,0.0,21.5,0.0,0.0,17.4,22.442,The Bahamas,0.348,10.785,2.0,-0.49650359031682134,30958.55,13.7,2.5,1533.27,48.614
11,Bahrain,Bahrain,Middle East / North Africa,12.0,1.0,75.5,0.3,55.0,0.0,51.0,2.0,99.9,0.0,72.4,0.2,75.8,-0.7,90.4,-0.7,72.5,2.1,82.8,0.0,75.0,0.0,80.0,0.0,3.6,0.0,0.0,3.9,30.336,Bahrain,1.129,31.101,1.788,4.789968185901694,27556.233,4.0,1.0,780.8510638298,36.456
12,Bangladesh,Bangladesh,Asia-Pacific,132.0,28.0,52.6,-0.6,20.0,0.0,27.0,3.0,72.7,-0.1,92.1,-1.8,68.0,-0.5,51.9,-4.0,65.4,-2.1,54.0,0.0,55.0,0.0,20.0,0.0,13.0,25.0,45.0,8.99873,16.179,Bangladesh,166.707,282.229,6.062,6.1220796201157945,1692.957,5.0,10.703,1136.4,42.9
13,Barbados,Barbados,South and Central America / Caribbean,39.0,6.0,69.3,0.3,80.0,0.0,78.0,0.0,74.5,3.4,54.2,14.1,74.8,-15.2,84.4,4.4,72.1,-3.7,60.5,0.0,55.0,0.0,60.0,0.0,14.8,35.0,25.0,26.5,39.068,Barbados,0.277,6.493,0.5,0.0,23416.651,11.2,9.42,333.6224931667,117.251
14,Belarus,Belarus,Europe,154.0,42.0,48.0,-1.0,20.0,0.0,24.0,-1.0,88.8,2.2,43.5,8.6,75.2,3.9,76.9,-0.1,40.7,-24.6,80.8,0.4,20.0,0.0,10.0,0.0,2.1,12.0,18.0,25.6,43.4,Belarus,9.434,141.771,5.346,6.370124963775692,15028.295,,53.228,3985.8,50.24
15,Belgium,Belgium,Europe,40.0,18.0,69.2,0.2,80.0,0.0,75.0,4.0,45.0,0.2,14.5,2.4,91.6,-0.7,69.8,-1.5,79.3,-1.9,86.8,-0.3,80.0,0.0,70.0,0.0,1.6,50.0,33.0,43.772,53.4,Belgium,10.952,413.281,1.893,1.0140075126363612,37736.857,7.4,3.469,89142.3566945389,98.506
16,Belize,Belize,South and Central America / Caribbean,102.0,20.0,57.3,-4.6,30.0,0.0,0.0,-20.0,82.2,-0.6,72.6,-2.0,72.6,-1.0,71.4,-10.8,77.3,-0.3,77.2,-0.9,40.0,-10.0,50.0,0.0,6.4,25.0,25.0,23.1,30.225,Belize,0.339,2.8,2.5,2.0029465176251593,8263.623,13.1,1.905,93.8,80.348
17,Benin,Benin,Sub-Saharan Africa,101.0,15.0,57.6,1.9,30.0,0.0,30.0,2.0,76.1,-0.1,86.1,6.2,45.4,2.5,49.7,-1.8,79.9,0.2,59.3,0.0,70.0,10.0,50.0,0.0,15.4,35.0,30.0,16.2,21.562,Benin,9.914,14.683,3.06,3.584343572935955,1481.063,,2.736,118.4658356398,31.327
18,Bhutan,Bhutan,Asia-Pacific,122.0,25.0,55.0,-1.6,60.0,0.0,57.0,0.0,82.7,-1.1,38.8,-16.5,60.5,0.8,84.4,5.8,67.3,-5.3,49.5,0.0,20.0,0.0,30.0,0.0,17.8,25.0,30.0,14.44065,45.18,Bhutan,0.701,4.287,5.854,9.053523257094076,6112.043,4.0,8.616,13.8716419644,82.002
19,Bolivia,Bolivia,South and Central America / Caribbean,156.0,25.0,47.9,-2.3,10.0,0.0,28.0,0.0,88.8,1.8,64.1,1.9,55.8,-0.7,30.8,-10.0,67.4,-5.4,74.3,0.0,10.0,-10.0,50.0,0.0,5.4,13.0,25.0,18.0,34.594,Bolivia,10.629,50.904,5.09,4.804698013158415,4789.212,5.8,9.884,858.9410704009,32.878
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,103.0,38.0,57.3,0.0,20.0,0.0,32.0,0.0,83.2,-1.1,26.9,2.5,54.3,-0.9,61.2,0.8,79.0,-1.7,86.4,0.4,70.0,0.0,60.0,0.0,1.8,10.0,10.0,38.5,49.362,Bosnia and Herzegovina,3.89,31.638,1.7,2.214250637533266,8133.004,43.3,3.7,435.0576428277,40.628
21,Botswana,Botswana,Sub-Saharan Africa,30.0,2.0,70.6,1.0,70.0,0.0,61.0,3.0,79.5,1.2,65.1,11.4,69.0,-0.1,69.8,-0.4,72.0,-0.4,79.7,0.0,70.0,-5.0,70.0,0.0,5.2,25.0,22.0,30.7,34.091,Botswana,1.853,29.707,4.621,2.8451973544614706,16029.809,7.5,8.464,587.1171529516,17.259
22,Brazil,Brazil,South and Central America / Caribbean,100.0,19.0,57.7,-0.2,50.0,0.0,38.0,1.0,70.3,1.2,54.8,0.0,53.0,-0.7,57.2,-1.9,74.4,-1.4,69.7,0.0,50.0,0.0,60.0,0.0,7.6,27.5,34.0,32.5,38.821,Brazil,194.933,2294.243,2.733,4.20342154863893,11769.411,6.0,6.636,66660.1400028,66.181
23,Bulgaria,Bulgaria,Europe,60.0,29.0,65.0,0.3,30.0,0.0,33.0,-3.0,94.0,0.4,64.2,13.9,73.6,0.9,74.8,-9.4,78.6,0.8,86.8,-0.3,55.0,0.0,60.0,0.0,1.6,10.0,10.0,19.9,34.566,Bulgaria,7.431,101.036,1.669,1.7492606865962879,13597.403,9.6,3.389,1864.4912499057,17.041
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,86.0,10.0,59.9,-0.7,30.0,0.0,30.0,-1.0,81.4,1.0,82.0,-2.0,61.2,-1.6,56.4,-2.5,80.6,-0.8,72.5,0.0,55.0,0.0,50.0,0.0,8.8,30.0,30.0,7.8,24.514,Burkina Faso,15.034,22.042,5.576,5.069493976195605,1466.143,,2.75,7.4173600132,29.437
25,Burma,Burma,Asia-Pacific,172.0,40.0,39.2,0.5,10.0,0.0,15.0,1.0,81.9,-0.1,96.8,0.8,20.0,0.0,20.0,0.0,65.1,3.9,73.6,0.0,0.0,0.0,10.0,0.0,3.2,30.0,30.0,3.16447,10.358,Burma,62.417,82.679,5.46,6.268439437644302,1324.627,5.5,4.243,850.0,44.324
26,Burundi,Burundi,Sub-Saharan Africa,148.0,34.0,49.0,0.9,20.0,0.0,19.0,1.0,71.5,-0.7,22.6,-0.3,58.4,12.3,66.4,-0.8,68.7,-2.2,78.9,0.0,55.0,0.0,30.0,0.0,5.5,35.0,35.0,20.1,50.8,Burundi,8.436,5.184,4.192,4.254301043983855,614.52,,14.892,1.654,35.266
27,Cambodia,Cambodia,Asia-Pacific,95.0,16.0,58.5,0.9,30.0,0.0,21.0,0.0,90.9,-0.2,88.4,-1.6,39.4,-1.3,54.2,7.0,81.3,0.6,70.2,5.0,60.0,0.0,50.0,0.0,9.9,20.0,20.0,10.67415,19.657,Cambodia,15.103,33.463,6.087,5.757133366327816,2215.691,3.5,5.478,891.7,28.596
28,Cameroon,Cameroon,Sub-Saharan Africa,133.0,27.0,52.3,0.5,30.0,0.0,25.0,3.0,69.3,0.0,87.1,-3.7,46.8,-0.3,55.5,7.4,69.9,-1.0,54.9,0.0,35.0,0.0,50.0,0.0,15.0,38.5,38.5,10.3,20.747,Cameroon,20.934,47.251,4.1,2.9860269142783613,2257.125,,2.94,360.0,12.866
29,Canada,Canada,North America,6.0,1.0,79.4,-0.5,90.0,0.0,87.0,-2.0,79.8,0.6,44.8,3.1,91.7,-4.9,82.3,0.5,75.2,-2.1,88.2,0.3,75.0,0.0,80.0,0.0,0.9,29.0,15.0,30.954,42.9,Canada,34.437,1396.131,2.46,1.1359561995387235,40541.093,7.4,2.89,40931.5119991188,84.953
30,Cape Verde,CapeVerde,Sub-Saharan Africa,65.0,4.0,63.7,0.2,70.0,5.0,55.0,4.0,77.9,0.6,65.4,3.6,58.9,-0.1,40.3,-8.2,78.0,-2.5,66.9,0.0,65.0,0.0,60.0,0.0,11.6,35.0,25.0,19.1,33.949,Cape Verde,0.52,2.052,5.046,5.750339272024796,3947.265,10.7,4.474,93.1440956692,77.581
31,Central African Republic,CentralAfricanRepublic,Sub-Saharan Africa,142.0,31.0,50.4,0.1,20.0,0.0,22.0,1.0,65.1,-0.1,92.4,-0.5,35.2,-2.1,47.9,-1.2,78.1,3.5,57.8,0.0,55.0,0.0,30.0,0.0,13.6,50.0,30.0,9.3,15.921,Central African Republic,4.744,3.641,3.144,2.7657547529346793,767.615,,0.743,109.1750624118,40.901
32,Chad,Chad,Sub-Saharan Africa,164.0,41.0,45.2,0.4,20.0,0.0,20.0,3.0,50.4,0.2,75.5,1.3,25.2,0.3,40.5,-3.2,74.6,2.1,55.6,0.0,50.0,0.0,40.0,0.0,14.7,60.0,40.0,5.2,28.594,Chad,10.478,19.543,1.624,2.9369516898978265,1865.12,,1.891,1854.9757770214,32.154
33,Chile,Chile,South and Central America / Caribbean,7.0,1.0,79.0,0.7,90.0,0.0,72.0,0.0,77.6,0.2,83.7,1.6,70.5,1.9,74.2,-0.9,84.6,-1.0,82.0,0.0,85.0,5.0,70.0,0.0,4.0,40.0,18.5,17.3,23.3,Chile,17.399,299.632,5.924,3.8548274832763685,17221.689,6.1,3.34,17299.01588676,9.914
34,China,China,Asia-Pacific,136.0,29.0,51.9,0.7,20.0,0.0,36.0,1.0,70.2,-0.2,83.3,-0.8,48.0,1.6,62.6,7.2,71.6,-2.6,72.0,0.4,25.0,0.0,30.0,0.0,4.0,45.0,25.0,18.2,23.581,China,1348.121,11299.967,9.237,10.523473794601168,8382.014,6.5,5.417,123985.0,25.843
35,Colombia,Colombia,South and Central America / Caribbean,37.0,5.0,69.6,1.6,50.0,0.0,34.0,-1.0,76.1,0.1,75.2,1.1,90.2,0.8,79.3,-0.4,78.7,0.0,72.2,0.0,70.0,5.0,70.0,10.0,8.9,33.0,33.0,14.4,28.734,Colombia,46.052,471.964,5.929,4.3894742495980354,10248.589,10.9,3.416,13234.1627216595,34.674
36,Comoros,Comoros,Sub-Saharan Africa,157.0,39.0,47.5,1.8,30.0,0.0,24.0,3.0,64.7,-0.2,82.4,-2.9,44.7,3.2,51.2,20.0,74.6,-3.7,68.8,-0.6,15.0,0.0,20.0,0.0,8.1,30.0,50.0,11.4,24.254,Comoros,0.68,0.837,2.227,1.508889770801236,1231.672,,6.791,6.8135066403,51.2
37,"Congo, Dem. Rep.",DemcoraticRepublicCongo,Sub-Saharan Africa,171.0,44.0,39.6,-1.5,10.0,0.0,20.0,0.0,71.4,-1.1,60.1,-16.0,38.7,0.0,36.3,-2.7,56.5,5.3,63.0,0.0,20.0,0.0,20.0,0.0,11.0,30.0,40.0,18.9,36.474,Democratic Republic of Congo,72.571,25.262,6.914,5.8221760931092215,348.098,,15.538,1686.9,31.989
38,"Congo, Rep.",RepublicCongo,Sub-Saharan Africa,167.0,42.0,43.5,-0.3,10.0,0.0,22.0,1.0,61.4,0.1,80.3,2.3,31.5,-9.1,44.8,-0.9,74.3,3.3,60.7,0.0,20.0,0.0,30.0,0.0,14.7,50.0,36.0,7.9,25.598,Republic of Congo,3.977,18.25,4.46,4.871633846021761,4589.098,,1.867,2930.9168280826,22.171
39,Costa Rica,CostaRica,South and Central America / Caribbean,49.0,8.0,67.0,-1.0,50.0,-5.0,48.0,-5.0,82.9,0.1,90.1,-0.7,58.3,0.7,60.4,-2.3,75.4,2.0,85.1,0.0,70.0,0.0,50.0,0.0,2.4,25.0,30.0,13.5,18.157,Costa Rica,4.613,55.021,4.164,3.6580284163515664,11927.454,7.7,4.878,2104.114969,30.764
40,Cote d'Ivoire,CoeDivoire,Sub-Saharan Africa,126.0,24.0,54.1,-0.2,25.0,5.0,22.0,0.0,77.9,-0.2,79.8,-6.8,43.3,0.6,54.6,-1.5,77.8,-3.9,70.3,0.0,40.0,5.0,50.0,0.0,7.3,36.0,25.0,17.0,25.925,Côte d'Ivoire,22.687,36.068,-4.729,1.0208995228440099,1589.83,,4.9,344.1655046136,90.525
