CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2018_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,154.0,38.0,51.3,17.9,28.2,26.2,91.8,79.3,98.3,53.0,57.3,77.8,66.0,10.0,10.0,7.02,20.0,20.0,5.0,26.298666666666666,Afghanistan,33.4,64.081,1.5,4.388199999999999,1918.599,8.54,4.384,99.5689663,8.271
2,Albania,Albania,Europe,65.0,32.0,64.5,54.1,25.4,39.9,85.1,72.7,67.5,69.1,50.4,82.4,87.8,70.0,70.0,1.11,23.0,15.0,27.2,30.14933333333333,Albania,2.885,34.155,2.6,2.0478,11840.228,16.333,1.275,1124.348061745397,71.536
3,Algeria,Algeria,Middle East / North Africa,172.0,14.0,44.7,27.8,35.2,29.0,74.0,45.9,19.2,68.1,48.7,69.9,63.5,25.0,30.0,8.27,35.0,23.0,29.1,42.472,Algeria,40.762,612.513,3.7,3.5802000000000005,15026.461,11.222,6.398,1546,20.356
4,Angola,Angola,Sub-Saharan Africa,164.0,40.0,48.6,36.0,25.4,18.9,82.4,69.1,54.8,58.3,50.9,58.5,59.5,30.0,40.0,10.24,17.0,30.0,24.0,32.083999999999996,Angola,27.36,187.261,3,3.956000000000001,6844.433,6.579,32.378,14363.55898921516,71.883
5,Argentina,Argentina,Americas,144.0,26.0,52.3,40.8,44.5,32.6,65.7,55.6,52.6,56.2,43.3,51.3,70.3,55.0,60.0,7.35,35.0,35.0,31.3,38.489333333333335,Argentina,43.6,874.072,1.2,-0.15700000000000008,20047.489,6.557,58.4,5745.183,51.269
6,Armenia,Armenia,Europe,44.0,20.0,68.7,55.3,47.4,40.5,84.7,80.0,67.2,78.7,69.9,75.8,80.0,75.0,70.0,2.52,26.0,20.0,21.3,25.808999999999997,Armenia,2.991,25.783,3,3.4528,8620.975,16.759,-1.406,338.03369714673465,51.813
7,Australia,Australia,Asia-Pacific,5.0,4.0,80.9,78.7,93.4,77.4,63.0,61.2,84.3,89.1,79.7,87.4,86.2,80.0,90.0,1.89,45.0,30.0,27.847,35.9534468272,Australia,24.281,1187.321,2.5,2.6792,48899.123,5.738,1.301,48190.24538919574,41.091
8,Austria,Austria,Europe,32.0,17.0,71.8,83.5,80.9,73.5,49.9,19.4,81.1,75.5,66.7,83.7,86.9,90.0,70.0,1.57,50.0,25.0,43.456,51.82037187466667,Austria,8.691,417.226,0.9,0.792,48004.66,6.109,0.973,-6088.525333643055,83.871
9,Azerbaijan,Azerbaijan,Asia-Pacific,67.0,14.0,64.3,53.6,36.8,39.9,87.5,59.4,95.5,72.3,71.9,65.6,74.6,55.0,60.0,5.19,25.0,20.0,15.0,36.76766666666666,Azerbaijan,9.492,165.533,1.1,1.6187999999999996,17438.59,5.073,12.4,4500,37.673
10,Bahamas,Bahamas,Americas,74.0,15.0,63.3,46.5,53.5,50.9,96.5,82.9,59.0,68.3,64.6,79.2,52.7,45.0,60.0,18.66,0.0,0.0,18.8,23.843333333333334,Bahamas,0.368,9.043,0.5,0.1832,24555.152,15.313,0.402,521.85445178,66.917
11,Bahrain,Bahrain,Middle East / North Africa,50.0,4.0,67.7,62.1,55.1,51.8,99.9,66.4,6.5,75.5,76.5,79.9,83.4,75.0,80.0,3.29,0.0,0.0,5.6,33.449666666666666,Bahrain,1.319,66.899,3.2,3.8547999999999996,50704.07,1.281,2.799,281.9148936170213,82.119
12,Bangladesh,Bangladesh,Asia-Pacific,128.0,29.0,55.1,32.4,32.6,21.2,72.7,94.2,78.9,52.1,66.4,69.0,61.2,50.0,30.0,11.89,25.0,45.0,8.8,13.855333333333334,Bangladesh,161.513,628.381,6.4,6.4694,3890.587,4.066,6.353,2332.72,33.082
13,Barbados,Barbados,Americas,117.0,24.0,57.0,51.4,54.4,53.8,74.0,39.3,0.0,70.5,63.2,85.0,62.2,70.0,60.0,13.9,35.0,25.0,27.3,44.983666666666664,Barbados,0.28,4.794,0.5,0.5582,17100.165,11.386,0.3,228.292052046338,107.886
14,Belarus,Belarus,Europe,108.0,42.0,58.1,53.5,57.3,42.0,89.8,47.9,75.4,74.1,73.1,62.3,81.4,30.0,10.0,1.8,13.0,18.0,23.0,41.67366666666667,Belarus,9.498,170.961,-3.9,-0.485,17999.695,0.53,11.829,1235.3,52.282
15,Belgium,Belgium,Europe,52.0,25.0,67.5,81.2,69.5,70.9,44.0,12.1,67.9,80.6,59.5,82.6,86.9,85.0,70.0,1.57,50.0,33.0,44.807,54.123234896999996,Belgium,11.311,509.531,1.4,0.8924,45046.937,8.256,1.77,33102.70066977495,105.529
16,Belize,Belize,Americas,116.0,23.0,57.1,42.1,53.5,34.7,80.0,65.5,50.0,62.9,48.7,78.3,64.9,55.0,50.0,10.04,25.0,25.0,27.3,33.897333333333336,Belize,0.376,3.09,1.5,2.0844,8219.908,11.034,1.183,32.5,98.557
17,Benin,Benin,Sub-Saharan Africa,120.0,17.0,56.7,35.5,31.3,30.2,67.4,85.6,49.7,60.7,49.9,84.7,55.6,80.0,50.0,17.22,45.0,30.0,18.3,21.873666666666665,Benin,11.128,23.585,5.2,4.897200000000001,2119.434,1.005,-0.809,160.58515031001258,50.3
18,Bhutan,Bhutan,Asia-Pacific,87.0,20.0,61.8,60.9,51.6,50.9,83.0,72.2,80.0,72.5,75.7,70.5,74.4,20.0,30.0,2.82,25.0,30.0,13.1,30.455000000000002,Bhutan,0.791,6.509,7.7,5.264799999999999,8227.369,2.384,4.183,-12.48369053357939,110.236
19,Bolivia,Bolivia,Americas,173.0,30.0,44.1,19.0,11.4,23.1,85.7,46.5,46.8,59.2,49.2,67.5,75.5,5.0,40.0,4.75,13.0,25.0,25.3,42.23466666666667,Bolivia,10.896,78.655,4.8,5.2654,7218.491,3.709,3.625,410.11792265917876,42.104
20,Bosnia and Herzegovina,BosniaHerzegovina,Europe,91.0,38.0,61.4,39.5,43.7,28.4,83.5,41.5,94.4,49.3,59.6,83.5,87.8,65.0,60.0,1.09,10.0,10.0,38.1,44.14666666666667,Bosnia and Herzegovina,3.854,42.234,2.8,1.5972000000000002,10957.542,25.761,-1.1,285.2434515435885,44.368
21,Botswana,Botswana,Sub-Saharan Africa,35.0,2.0,69.9,57.7,54.7,56.6,76.1,63.4,98.2,69.5,64.6,79.0,83.9,65.0,70.0,0.54,25.0,22.0,35.8,34.925333333333334,Botswana,2.154,36.708,-0.3,4.222600000000001,17041.582,18.373,2.81,10.457279628043038,13.886
22,Brazil,Brazil,Americas,153.0,27.0,51.4,55.8,55.5,31.4,70.6,50.7,7.7,58.6,46.8,71.4,68.5,50.0,50.0,8.27,27.5,34.0,32.0,40.542,Brazil,206.101,3141.335,-3.8,-0.38680000000000014,15241.731,11.452,8.74,58679.59140661999,78.316
23,Bulgaria,Bulgaria,Europe,47.0,23.0,68.3,63.6,42.5,38.2,90.9,60.5,94.3,64.3,66.1,82.8,86.9,70.0,60.0,1.57,10.0,10.0,26.7,36.286,Bulgaria,7.114,144.598,3,1.8564,20326.698,8.001,-1.323,776.1867626806485,27.83
24,Burkina Faso,BurkinaFaso,Sub-Saharan Africa,95.0,8.0,60.0,42.1,47.1,31.8,80.6,83.7,80.4,51.5,47.0,84.5,65.8,65.0,40.0,9.59,27.5,27.5,20.6,23.30333333333333,Burkina Faso,18.42,32.827,4,5.1450000000000005,1782.15,2.985,0.747,308.7233223535605,32.471
