CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2021_Score,Property_Rights,Judical_Effectiveness,Government_Integrity,Tax_Burden,Gov't_Spending,Fiscal_Health,Business_Freedom,Labor_Freedom,Monetary_Freedom,Trade_Freedom,Investment_Freedom_,Financial_Freedom,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
102,Madagascar,Madagascar,Sub-Saharan Africa,112.0,17.0,57.7,33.7,25.7,20.2,90.6,93.4,92.9,46.5,44.7,73.7,65.4,55.0,50.0,9.8,20.0,20.0,11.935,14.846333333333334,Madagascar,26.969307,52.865,4.758,4.0762,1714.4474538765498,1.8,5.623,227.26748733045318,38.4
103,Malawi,Malawi,Sub-Saharan Africa,145.0,33.0,53.0,46.1,42.1,26.8,79.0,72.3,25.4,42.1,63.6,70.5,68.2,50.0,50.0,8.4,30.0,30.0,17.38917075314982,30.406000000000002,Malawi,18.628747,25.157,4.5,3.378,1103.643615792093,5.7,9.378,97.9122856,67.7
104,Malaysia,Malaysia,Asia-Pacific,22.0,5.0,74.4,85.1,70.5,53.2,83.8,84.3,79.4,86.7,73.9,83.6,82.4,60.0,50.0,3.8,30.0,24.0,12.029692391138658,22.842333333333332,Malaysia,31.949777,1076.37,4.33,4.854000000000001,29525.577362934197,3.3,0.663,7650.474716751117,57.2
105,Maldives,Maldives,Asia-Pacific,136.0,31.0,55.2,44.1,28.2,39.5,96.5,67.0,35.9,77.9,71.2,77.5,59.8,35.0,30.0,12.6,0.0,0.0,18.73691,33.166000000000004,Maldives,0.530953,8.474,5.657,5.7146,19698.235754335445,6.1,1.309,564.5763657,76.8
106,Mali,Mali,Sub-Saharan Africa,133.0,26.0,55.6,34.5,21.2,23.6,69.0,85.3,81.3,46.5,53.5,83.7,64.0,65.0,40.0,10.5,40.0,35.0,16.712,22.147000000000002,Mali,19.658031,47.411,5.1,5.576599999999999,2423.828764586794,7.2,-0.591,493.8233538227929,40.5
107,Malta,Malta,Europe,36.0,21.0,70.2,68.2,57.3,55.0,68.6,60.9,96.3,67.6,61.8,77.1,84.0,85.0,60.0,3.0,35.0,35.0,26.228254141502767,36.09633333333333,Malta,0.502653,23.001,4.384,6.9714,45651.57500353765,3.5,1.523,3572.7073256985495,42.8
108,Mauritania,Mauritania,Sub-Saharan Africa,128.0,23.0,56.1,26.0,23.9,21.0,74.3,88.4,93.3,59.1,52.8,80.0,63.8,50.0,40.0,8.1,40.0,25.0,18.706,19.69066666666667,Mauritania,4.525696,25.456,5.861,3.622,5412.4191615823365,9.6,2.306,885.2900454609875,57.7
109,Mauritius,Mauritius,Sub-Saharan Africa,13.0,1.0,77.0,78.4,73.6,55.0,91.6,78.0,73.5,83.7,74.6,77.4,88.0,80.0,70.0,1.0,15.0,15.0,19.847,27.07166666666667,Mauritius,1.265711,31.592,3.482,3.6896,23942.132411587314,6.7,0.454,472.3028070769408,62.5
110,Mexico,Mexico,Americas,65.0,11.0,65.5,53.4,35.9,39.8,76.1,79.8,88.7,65.6,58.2,72.1,81.6,75.0,60.0,4.2,35.0,30.0,16.13,25.932999999999996,Mexico,127.575529,2616.29,-0.146,2.0614,20410.706569391434,3.4,3.635,32921.2359999,53.4
111,Micronesia,Micronesia,Asia-Pacific,160.0,36.0,50.4,16.5,23.3,25.0,88.2,0.0,99.3,56.2,74.4,82.1,74.8,35.0,30.0,5.1,10.0,21.0,25.19627385009864,64.03866666666667,Micronesia,0.113815,0.362,1.183,1.9198,3550.0,16.2,1.756,20.2,18.5
