CountryID,Country_Name,WEBNAME,Region,World_Rank,Region_Rank,2014_Score,Change_in_Yearly_Score_from_2013,Property_Rights,Change_in_Property_Rights_from_2013,Freedom_from_Corruption,Change_in_Freedom_from_Corruption_from_2013,Fiscal_Freedom_,Change_in_Fiscal_Freedom_from_2013,Gov't_Spending,Change_in_Gov't_Spending_from_2013,Business_Freedom,Change_in_Business_Freedom_from_2013,Labor_Freedom,Change_in_Labor_Freedom_from_2013,Monetary_Freedom,Change_in_Monetary_Freedom_from_2013,Trade_Freedom,Change_in_Trade_Freedom_from_2013,Investment_Freedom_,Change_in_Investment_Freedom_from_2013,Financial_Freedom,Change_in_Financial_Freedom_from_2013,Tariff_Rate_(%),Income_Tax_Rate_(%),Corporate_Tax_Rate_(%),Tax_Burden_%_of_GDP,Gov't_Expenditure_%_of_GDP_,Country,Population_(Millions),"GDP_(Billions,_PPP)",GDP_Growth_Rate_(%),5_Year_GDP_Growth_Rate_(%),GDP_per_Capita_(PPP),Unemployment_(%),Inflation_(%),FDI_Inflow_(Millions),Public_Debt_(%_of_GDP)
1,Afghanistan,Afghanistan,Asia-Pacific,,,,,,,10.0,-5.0,91.2431,,84.16310272,0.9631027199999949,63.1,3.3999999999999986,75.0404028029758,-0.7595971970241919,74.32122421103183,4.821224211031833,,,65.0,0.0,,,,20.0,20.0,8.7,22.976,Afghanistan,32.017,33.74,10.214,9.895820526283462,1053.813,35.0,4.445,93.8,
2,Albania,Albania,Europe,54.0,25.0,66.89223958067586,1.6922395806758601,30.0,0.0,30.35294117647059,-0.6470588235294095,92.71000000000001,0.11000000000001364,75.57946117,0.47946117000000754,78.1,-2.9000000000000057,49.716396721474894,0.7163967214748936,79.98359673881315,1.5835967388131422,87.48,7.680000000000007,75.0,10.0,70.0,0.0,1.26,10.0,10.0,23.0,28.531,Albania,3.243,26.11,1.3,3.7101554834565453,8052.178,15.0,2.023,957.0419404492,60.597
3,Algeria,Algeria,Middle East / North Africa,146.0,14.0,50.84383023907465,1.2438302390746472,30.0,0.0,28.745098039215687,-0.2549019607843128,80.5,0.09999999999999432,50.98185748000001,6.881857480000008,66.3,1.0999999999999943,48.29930052702996,-4.300699472970038,67.81204634450086,-8.787953655499138,60.8,-7.0,45.0,25.0,30.0,0.0,12.1,35.0,25.0,10.0,40.422,Algeria,36.494,272.866,2.53,2.437922332857334,7477.069,9.666,8.89,1484.0,9.9
4,Angola,Angola,Sub-Saharan Africa,160.0,39.0,47.703601779671104,0.40360177967110644,15.0,0.0,17.705882352941178,-2.2941176470588225,87.7379,5.137900000000002,55.32898768,-5.271012320000004,47.5,4.399999999999999,40.05721222135532,-4.742787778644676,63.58603554241452,2.086035542414521,70.12,-0.0799999999999983,40.0,5.0,40.0,0.0,7.44,17.0,30.0,6.1,38.588,Angola,20.213,128.288,8.413,6.310977599350065,6346.742,,10.283,-6897.8,29.295
5,Argentina,Argentina,South and Central America / Caribbean,166.0,27.0,44.55334569898518,-2.14665430101482,15.0,0.0,29.470588235294116,-0.529411764705884,63.52839999999999,-0.7716000000000065,49.92606925000001,-2.1739307499999896,53.9,-6.200000000000003,44.88066993534136,-2.5193300646586394,59.9677295692163,-0.43227043078369576,68.86,1.2600000000000051,30.0,-10.0,30.0,0.0,5.57,35.0,35.0,34.6,40.855,Argentina,41.028,743.121,1.899,5.4495718210778366,18112.33,7.2,10.043,12551.1193438631,44.887
6,Armenia,Armenia,Europe,41.0,18.0,68.8610968242751,-0.5389031757249114,30.0,0.0,26.745098039215687,0.7450980392156872,86.4511,-1.5489000000000033,81.28897972,-0.8110202799999939,83.1,-4.5,78.53771957301721,1.437719573017219,77.028070910518,4.028070910517997,85.46,0.05999999999998806,70.0,-5.0,70.0,0.0,2.27,26.0,20.0,16.7,24.974,Armenia,3.366,19.649,7.18,1.0378475120391029,5838.258,19.0,2.513,489.0766758157,39.548
7,Australia,Australia,Asia-Pacific,3.0,3.0,82.02562300987668,-0.5743769901233122,90.0,0.0,87.74509803921569,-0.25490196078430927,64.1964,-2.2036000000000087,62.61730000000001,-0.18269999999998987,94.6,-0.9000000000000057,79.2,-4.299999999999997,80.51743205955115,-3.2825679404488426,86.38,0.1799999999999926,85.0,5.0,90.0,0.0,1.81,45.0,30.0,25.6,35.3,Australia,22.766,970.764,3.579,2.5418584501873287,42640.275,5.242,1.763,56958.9387461806,27.159
8,Austria,Austria,Europe,24.0,14.0,72.41161804279514,0.6116180427951434,90.0,0.0,75.47058823529412,-2.529411764705884,51.02589999999999,-0.07410000000000849,23.492500000000007,-0.007499999999993179,76.3,2.700000000000003,80.47453703649393,0.07453703649392196,79.5326551561634,0.23265515616340338,87.82,1.019999999999996,90.0,5.0,70.0,0.0,1.09,50.0,25.0,42.1,50.5,Austria,8.466,359.021,0.792,0.6117379254160449,42408.575,4.375,2.575,6315.0942959858,73.717
9,Azerbaijan,Azerbaijan,Asia-Pacific,81.0,13.0,61.303451948625366,1.6034519486253629,20.0,-5.0,22.666666666666668,-1.3333333333333321,88.11851237379099,2.618512373790992,64.83688912,-2.963110880000002,73.5,4.299999999999997,77.93364123694879,-1.4663587630512183,78.75881008884724,5.258810088847241,77.22,0.01999999999999602,60.0,5.0,50.0,10.0,3.89,25.0,20.0,12.77297,34.236,Azerbaijan,9.235,96.768,2.163,5.384682492009274,10478.231,6.048,1.079,2004.6,11.599
10,Bahamas,Bahamas,South and Central America / Caribbean,36.0,4.0,69.75175105123243,-0.3482489487675622,70.0,0.0,66.58823529411764,-6.411764705882362,97.3104,0.31040000000000134,84.12585973,-0.7741402700000037,70.7,-0.5999999999999943,81.47062554495064,-0.12937445504935852,75.122389943256,-0.6776100567440011,52.2,5.200000000000003,30.0,0.0,70.0,0.0,18.9,0.0,0.0,16.4,23.003,The Bahamas,0.352,11.055,2.5,-0.6113142081801026,31382.41,11.0,2.3,1093.89,51.856
